,date,close,average,turnover_ratio,market_cap
0,2016-03-07,13.23,13.11,0.0965,21.168
1,2016-03-08,14.55,14.55,0.0549,23.28
2,2016-03-09,16.01,16.01,0.0515,25.616
3,2016-03-10,17.61,17.61,0.0938,28.176
4,2016-03-11,19.37,19.37,0.616,30.992
5,2016-03-14,21.31,21.31,0.5563,34.096
6,2016-03-15,23.44,23.44,0.397,37.504
7,2016-03-16,25.78,25.78,1.7263,41.248
8,2016-03-17,28.36,27.88,51.3789,45.376
9,2016-03-18,29.21,29.71,69.558,46.736
10,2016-03-21,30.19,29.48,55.6889,48.304
11,2016-03-22,29.0,29.22,36.7705,46.4
12,2016-03-23,28.4,28.19,27.4474,45.44
13,2016-03-24,31.24,30.57,41.0102,49.984
14,2016-03-25,29.86,30.98,46.828,47.776
15,2016-03-28,28.31,28.99,33.5257,45.296
16,2016-03-29,27.24,27.27,21.7127,43.584
17,2016-03-30,28.18,27.76,20.7639,45.088
18,2016-03-31,27.7,27.89,18.4304,44.32
19,2016-04-01,27.97,27.7,15.8636,44.752
20,2016-04-05,28.19,27.79,21.0034,45.104
21,2016-04-06,27.91,27.98,15.082,44.656
22,2016-04-07,27.88,28.14,17.5481,44.608
23,2016-04-08,27.91,27.58,12.4587,44.656
24,2016-04-11,29.44,29.2,28.4764,47.104
25,2016-04-12,29.52,29.67,27.0697,47.232
26,2016-04-13,29.59,29.69,23.5711,47.344
27,2016-04-14,32.55,31.34,31.7045,52.08
28,2016-04-15,31.89,32.63,46.6901,51.024
29,2016-04-18,30.55,30.3,25.8062,48.88
30,2016-04-19,30.56,30.95,19.743,48.896
31,2016-04-20,29.18,29.65,26.0103,46.688
32,2016-04-21,28.49,28.85,17.2434,45.584
33,2016-04-22,28.67,28.31,11.4683,45.872
34,2016-04-25,28.02,27.93,10.7821,44.832
35,2016-04-26,28.51,28.24,8.6512,45.616
36,2016-04-27,28.74,28.87,13.0355,45.984
37,2016-04-28,28.19,28.16,12.7,45.104
38,2016-04-29,28.07,28.16,6.7537,44.912
39,2016-05-03,29.51,29.17,15.5645,47.216
40,2016-05-04,30.01,29.9,19.4318,48.016
41,2016-05-05,30.3,30.24,14.7261,48.48
42,2016-05-06,28.97,30.42,22.2223,46.352
43,2016-05-09,27.77,27.95,14.1311,44.432
44,2016-05-10,28.36,28.17,10.7311,45.376
45,2016-05-11,29.47,29.31,22.0305,47.152
46,2016-05-12,27.99,27.77,15.6322,44.784
47,2016-05-13,27.77,27.91,9.9962,44.432
48,2016-05-16,28.64,28.03,9.9688,45.824
49,2016-05-17,27.99,28.19,9.9261,44.784
50,2016-05-18,26.91,26.97,11.879,43.056
51,2016-05-19,26.92,27.04,7.4925,43.072
52,2016-05-20,27.21,26.75,7.6383,43.536
53,2016-05-23,28.0,27.86,10.4994,44.8
54,2016-05-24,27.53,27.54,6.8059,44.048
55,2016-05-25,27.64,27.82,6.3923,44.224
