stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4994,2012-04-20,2023-03-28,1.12,0.0739,0.4039,2021-03-01,2022-09-21,-0.0134,-0.03,2657,108,0.04,0.4722,1.71,0.23,-0.1214
000681,0.5024,2013-11-11,2023-03-28,3.0606,0.1699,0.5132,2015-12-11,2021-06-24,0.1309,0.18,2251,111,0.05,0.4144,2.53,0.32,-0.1662
000776,0.5054,2012-04-09,2023-03-28,1.5041,0.0908,0.3301,2013-02-01,2014-02-21,0.0619,0.1,2661,124,0.05,0.4516,2.12,0.16,-0.0903
000858,0.5176,2012-04-09,2023-03-28,4.7354,0.1839,0.2856,2019-10-21,2020-03-17,-0.0235,-0.04,2608,107,0.04,0.4579,2.42,0.41,-0.139
000868,0.5035,2012-04-09,2023-03-28,0.3855,0.0323,0.6986,2017-11-03,2019-07-23,0.0094,0.01,2584,121,0.05,0.4463,1.71,0.04,-0.2264
001979,0.4837,2016-03-31,2023-03-28,-0.4305,-0.0808,0.5081,2016-08-12,2022-08-10,-0.0973,-0.26,1685,88,0.05,0.3864,1.21,-0.46,-0.19
002079,0.4943,2012-04-10,2023-03-28,3.094,0.1455,0.2636,2015-12-10,2016-01-12,0.0586,0.1,2614,118,0.05,0.4915,1.82,0.36,-0.1839
002248,0.4793,2012-04-12,2023-03-28,-0.6461,-0.1028,0.6849,2016-04-26,2021-04-13,-0.0994,-0.18,2412,124,0.05,0.371,1.42,-0.37,-0.2841
002510,0.5077,2012-04-10,2023-03-28,0.8905,0.064,0.3676,2016-07-26,2019-11-12,0.02,0.04,2588,119,0.05,0.4202,2.0,0.15,-0.182
002528,0.4998,2012-04-11,2023-03-28,1.4219,0.0909,0.6215,2015-12-15,2018-12-27,-0.0525,-0.08,2563,126,0.05,0.4444,1.99,0.16,-0.2727
002594,0.4902,2012-04-09,2023-03-28,5.28,0.1903,0.3778,2015-05-07,2019-12-02,-0.0387,-0.06,2658,130,0.05,0.4769,2.13,0.4,-0.2207
300059,0.5136,2012-04-10,2023-03-28,45.5281,0.4486,0.368,2016-02-19,2018-02-12,0.0124,0.01,2611,105,0.04,0.4381,5.54,0.26,-0.2439
300123,0.4963,2012-04-10,2023-03-28,0.9224,0.0705,0.5183,2020-08-20,2023-01-05,-0.027,-0.04,2416,118,0.05,0.3729,2.48,0.12,-0.2308
600011,0.4844,2012-04-10,2023-03-28,-0.2426,-0.0259,0.6309,2015-06-01,2023-01-17,-0.1098,-0.23,2667,117,0.04,0.3504,1.99,-0.12,-0.2155
600027,0.4812,2012-04-10,2023-03-28,0.4582,0.0364,0.5926,2015-06-01,2021-07-26,-0.0665,-0.14,2660,136,0.05,0.3897,2.06,0.08,-0.1811
600050,0.4835,2012-04-09,2023-03-28,-0.0506,-0.0051,0.5774,2015-05-27,2022-09-19,-0.0485,-0.1,2573,135,0.05,0.3778,1.9,-0.06,-0.1597
600150,0.4876,2012-04-09,2023-03-28,0.3174,0.0277,0.5073,2012-04-09,2014-05-21,0.0315,0.05,2541,111,0.04,0.3694,2.19,0.04,-0.1711
600325,0.4919,2012-04-11,2023-03-28,0.4467,0.0357,0.4271,2019-06-11,2022-08-03,-0.0816,-0.16,2655,145,0.05,0.4069,1.89,0.07,-0.2063
600354,0.4889,2012-04-10,2023-03-28,-0.2488,-0.0271,0.6064,2015-06-30,2022-09-16,-0.0192,-0.03,2620,97,0.04,0.3608,1.9,-0.12,-0.2442
600406,0.485,2012-04-10,2023-03-28,-0.2846,-0.0329,0.391,2015-05-21,2016-07-06,-0.1526,-0.32,2526,131,0.05,0.3969,1.5,-0.18,-0.275
600674,0.4831,2012-04-13,2023-03-28,1.7133,0.0991,0.2698,2015-05-25,2020-04-23,-0.071,-0.21,2662,130,0.05,0.4769,1.99,0.46,-0.1339
600733,0.5099,2012-04-10,2023-03-28,1.7605,0.1257,0.3907,2016-09-08,2020-01-02,0.0667,0.1,2161,104,0.05,0.4135,2.31,0.25,-0.1792
600809,0.4878,2012-04-10,2023-03-28,1.1854,0.077,0.655,2012-06-05,2016-04-21,-0.1946,-0.31,2655,129,0.05,0.4651,1.68,0.13,-0.3001
600893,0.4911,2012-04-11,2023-03-28,0.8441,0.0627,0.5951,2015-07-22,2020-03-18,-0.0555,-0.09,2535,113,0.04,0.3628,2.58,0.11,-0.2309
601828,0.5168,2018-04-23,2023-03-28,-0.3222,-0.0788,0.3431,2018-05-15,2023-03-10,0.0907,0.25,1194,58,0.05,0.3448,1.32,-0.55,-0.0081
601898,0.4897,2012-04-09,2023-03-28,0.6847,0.0505,0.406,2015-05-27,2020-06-30,0.0406,0.08,2667,137,0.05,0.4161,1.91,0.12,-0.1015
603000,0.4917,2012-07-25,2023-03-28,1.812,0.1056,0.5342,2015-11-30,2018-09-07,0.021,0.02,2595,128,0.05,0.4141,2.61,0.11,-0.1976
603027,0.4831,2016-06-01,2023-03-28,0.6674,0.0808,0.4333,2016-07-28,2018-12-07,-0.1735,-0.31,1658,65,0.04,0.4462,1.8,0.17,-0.285
603588,0.4889,2015-04-01,2023-03-28,-0.061,-0.0086,0.5678,2015-12-08,2018-12-11,-0.0156,-0.03,1843,82,0.04,0.3415,2.13,-0.08,-0.1864
