stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4915,2012-04-20,2023-03-28,0.0395,0.0037,0.4397,2019-11-13,2022-09-23,-0.0836,-0.2,2657,83,0.03,0.3735,1.91,-0.04,-0.1778
000681,0.4976,2013-11-11,2023-03-28,0.4615,0.0434,0.7397,2015-12-03,2021-06-22,0.0044,0.01,2251,73,0.03,0.3836,2.22,0.07,-0.2575
000776,0.4946,2012-04-09,2023-03-28,0.1499,0.0133,0.3875,2012-05-23,2014-05-22,-0.0156,-0.03,2661,88,0.03,0.375,2.09,-0.0,-0.1573
000858,0.5107,2012-04-09,2023-03-28,3.9007,0.166,0.3396,2012-07-30,2014-03-03,-0.0414,-0.08,2608,79,0.03,0.4051,3.09,0.36,-0.1573
000868,0.4969,2012-04-09,2023-03-28,1.226,0.0812,0.6278,2017-10-25,2019-05-08,0.0583,0.08,2584,72,0.03,0.375,2.78,0.13,-0.1869
001979,0.4973,2016-03-31,2023-03-28,0.1227,0.0175,0.3849,2018-03-14,2018-12-20,0.001,0.0,1685,57,0.03,0.4035,1.8,0.02,-0.1077
002079,0.4904,2012-04-10,2023-03-28,1.2887,0.0831,0.4414,2020-01-20,2021-05-12,-0.0038,-0.01,2614,71,0.03,0.4085,2.23,0.19,-0.2281
002248,0.4884,2012-04-12,2023-03-28,-0.6999,-0.1182,0.7875,2016-01-05,2023-02-21,-0.1148,-0.2,2412,78,0.03,0.3077,1.74,-0.42,-0.2989
002510,0.5046,2012-04-10,2023-03-28,0.799,0.0588,0.6892,2015-06-23,2019-01-30,0.0148,0.02,2588,82,0.03,0.4146,2.05,0.11,-0.183
002528,0.4846,2012-04-11,2023-03-28,0.1944,0.0176,0.74,2015-12-04,2022-08-25,-0.1258,-0.2,2563,82,0.03,0.439,1.59,0.01,-0.3271
002594,0.5087,2012-04-09,2023-03-28,11.3709,0.2693,0.259,2015-11-23,2017-05-04,0.0403,0.06,2658,76,0.03,0.4211,3.9,0.51,-0.169
300059,0.5067,2012-04-10,2023-03-28,29.7612,0.3919,0.4257,2015-12-22,2016-08-31,-0.0443,-0.05,2611,77,0.03,0.5065,3.11,0.51,-0.2827
300123,0.5091,2012-04-10,2023-03-28,2.083,0.1246,0.2989,2015-05-04,2016-03-01,0.0271,0.04,2416,77,0.03,0.3766,2.9,0.23,-0.2047
600011,0.4841,2012-04-10,2023-03-28,0.241,0.0206,0.4178,2022-01-07,2023-01-17,-0.0633,-0.13,2667,82,0.03,0.378,2.11,0.02,-0.1838
600027,0.4872,2012-04-10,2023-03-28,0.8003,0.0573,0.5491,2015-05-19,2020-03-16,-0.0456,-0.1,2660,84,0.03,0.3929,2.31,0.14,-0.166
600050,0.4843,2012-04-09,2023-03-28,-0.4439,-0.0559,0.7386,2015-05-18,2022-10-25,-0.0993,-0.22,2573,89,0.03,0.2921,2.22,-0.24,-0.2013
600150,0.4904,2012-04-09,2023-03-28,0.4266,0.0359,0.5694,2015-05-12,2018-10-15,0.0397,0.06,2541,82,0.03,0.4024,2.06,0.05,-0.1628
600325,0.4885,2012-04-11,2023-03-28,-0.1382,-0.014,0.5979,2015-06-30,2021-09-15,-0.1313,-0.26,2655,94,0.04,0.3723,1.88,-0.09,-0.2457
600354,0.4893,2012-04-10,2023-03-28,-0.2206,-0.0237,0.5281,2015-06-26,2020-12-18,-0.0158,-0.03,2620,72,0.03,0.4167,1.51,-0.11,-0.2382
600406,0.4949,2012-04-10,2023-03-28,-0.203,-0.0224,0.5266,2015-05-06,2019-08-07,-0.1421,-0.29,2526,81,0.03,0.4074,1.51,-0.13,-0.2658
600674,0.4872,2012-04-13,2023-03-28,1.1337,0.0744,0.3868,2015-05-11,2016-06-16,-0.0957,-0.28,2662,82,0.03,0.4878,1.76,0.31,-0.1532
600733,0.5044,2012-04-10,2023-03-28,1.9567,0.1348,0.4593,2016-08-23,2020-08-25,0.0758,0.11,2161,72,0.03,0.4167,2.41,0.26,-0.1724
600809,0.4863,2012-04-10,2023-03-28,0.9946,0.0677,0.6718,2012-05-30,2016-03-16,-0.2039,-0.34,2655,78,0.03,0.3846,2.38,0.12,-0.306
600893,0.4982,2012-04-11,2023-03-28,3.1818,0.1528,0.3869,2015-08-10,2020-03-13,0.0346,0.05,2535,76,0.03,0.4211,2.76,0.29,-0.1686
601828,0.5109,2018-04-23,2023-03-28,-0.3648,-0.0913,0.3852,2019-04-01,2023-03-13,0.0782,0.21,1194,38,0.03,0.2632,1.91,-0.54,-0.0183
601898,0.4889,2012-04-09,2023-03-28,0.2191,0.0189,0.5304,2015-05-12,2016-06-15,0.009,0.02,2667,86,0.03,0.3488,2.37,0.02,-0.1256
603000,0.4871,2012-07-25,2023-03-28,0.0571,0.0054,0.6681,2015-03-13,2018-10-12,-0.0792,-0.09,2595,88,0.03,0.3409,2.81,-0.01,-0.2676
603027,0.4807,2016-06-01,2023-03-28,0.4366,0.0566,0.5268,2020-07-27,2022-10-27,-0.1977,-0.36,1658,51,0.03,0.3725,2.35,0.11,-0.2998
603588,0.5073,2015-04-01,2023-03-28,0.5835,0.0649,0.2877,2020-09-04,2021-07-29,0.0579,0.11,1843,52,0.03,0.3654,2.63,0.16,-0.1273
