stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4987,2012-04-20,2023-03-28,1.3237,0.0833,0.3205,2021-06-01,2022-09-19,-0.004,-0.01,2657,150,0.06,0.3067,3.3,0.23,-0.1148
000681,0.4967,2013-11-11,2023-03-28,3.2853,0.1769,0.5894,2015-11-30,2021-07-26,0.1379,0.18,2251,125,0.06,0.304,3.89,0.31,-0.1661
000776,0.4833,2012-04-09,2023-03-28,1.6045,0.0949,0.4518,2015-04-16,2016-03-10,0.066,0.11,2661,158,0.06,0.2975,3.74,0.18,-0.0874
000858,0.4942,2012-04-09,2023-03-28,3.0826,0.1456,0.3842,2015-06-19,2016-02-25,-0.0618,-0.13,2608,161,0.06,0.3354,3.25,0.41,-0.1719
000868,0.4872,2012-04-09,2023-03-28,1.5577,0.0959,0.4403,2018-03-22,2019-08-30,0.073,0.1,2584,164,0.06,0.2805,3.74,0.17,-0.1763
001979,0.4736,2016-03-31,2023-03-28,-0.3858,-0.0703,0.5303,2018-03-08,2021-07-26,-0.0868,-0.22,1685,111,0.07,0.2342,2.7,-0.39,-0.1854
002079,0.4809,2012-04-10,2023-03-28,0.1533,0.0138,0.4157,2020-02-26,2022-03-24,-0.0731,-0.12,2614,152,0.06,0.3421,2.25,0.0,-0.2746
002248,0.4892,2012-04-12,2023-03-28,0.5251,0.0451,0.5854,2016-04-21,2021-04-12,0.0485,0.07,2412,139,0.06,0.2446,4.2,0.06,-0.1703
002510,0.4861,2012-04-10,2023-03-28,-0.2482,-0.0274,0.6645,2016-04-20,2022-04-20,-0.0714,-0.13,2588,159,0.06,0.283,2.64,-0.13,-0.2558
002528,0.4694,2012-04-11,2023-03-28,0.1236,0.0115,0.8324,2015-11-30,2022-04-22,-0.1319,-0.19,2563,166,0.06,0.241,3.79,-0.01,-0.3325
002594,0.4846,2012-04-09,2023-03-28,5.4086,0.1926,0.4431,2015-03-30,2017-08-30,-0.0364,-0.05,2658,163,0.06,0.319,3.79,0.36,-0.218
300059,0.4791,2012-04-10,2023-03-28,9.8015,0.2582,0.6071,2015-05-20,2018-10-08,-0.178,-0.2,2611,161,0.06,0.3354,3.84,0.35,-0.3464
300123,0.4884,2012-04-10,2023-03-28,1.2426,0.0879,0.6055,2020-08-13,2022-03-24,-0.0096,-0.01,2416,145,0.06,0.2966,3.42,0.16,-0.2192
600011,0.4878,2012-04-10,2023-03-28,0.1218,0.0109,0.656,2015-05-07,2020-06-23,-0.073,-0.15,2667,162,0.06,0.3086,2.66,-0.01,-0.1892
600027,0.4951,2012-04-10,2023-03-28,1.422,0.0874,0.4658,2015-05-07,2018-04-03,-0.0155,-0.03,2660,159,0.06,0.3145,3.25,0.24,-0.1466
600050,0.4831,2012-04-09,2023-03-28,0.048,0.0046,0.4545,2015-05-07,2016-06-13,-0.0388,-0.08,2573,166,0.06,0.2771,3.02,-0.03,-0.1506
600150,0.486,2012-04-09,2023-03-28,1.9558,0.1135,0.4537,2015-05-29,2016-06-13,0.1173,0.18,2541,143,0.06,0.3427,3.03,0.22,-0.1059
600325,0.4814,2012-04-11,2023-03-28,0.2922,0.0246,0.4877,2019-04-16,2021-08-13,-0.0927,-0.17,2655,172,0.06,0.2674,3.37,0.03,-0.223
600354,0.484,2012-04-10,2023-03-28,0.2964,0.0253,0.5319,2016-04-28,2018-12-06,0.0332,0.06,2620,144,0.05,0.3403,2.3,0.04,-0.2047
600406,0.4865,2012-04-10,2023-03-28,0.1627,0.0152,0.4931,2015-06-16,2023-03-16,-0.1045,-0.21,2526,154,0.06,0.3377,2.28,0.0,-0.2367
600674,0.4793,2012-04-13,2023-03-28,0.7472,0.0542,0.356,2015-06-19,2016-06-13,-0.1159,-0.33,2662,167,0.06,0.3892,2.12,0.2,-0.1699
600733,0.4951,2012-04-10,2023-03-28,0.3744,0.0378,0.6758,2016-06-14,2022-12-12,-0.0212,-0.03,2161,137,0.06,0.2701,3.56,0.05,-0.2277
600809,0.4806,2012-04-10,2023-03-28,2.8086,0.1353,0.5528,2013-03-18,2016-03-11,-0.1363,-0.23,2655,160,0.06,0.3438,2.95,0.3,-0.2648
600893,0.4852,2012-04-11,2023-03-28,2.214,0.1231,0.4518,2021-01-18,2022-06-22,0.0049,0.01,2535,156,0.06,0.2885,3.9,0.22,-0.19
601828,0.5034,2018-04-23,2023-03-28,-0.1819,-0.0415,0.3526,2019-04-09,2022-10-20,0.128,0.33,1194,65,0.05,0.2769,2.29,-0.31,0.0283
601898,0.4931,2012-04-09,2023-03-28,1.0858,0.0719,0.3818,2017-07-27,2021-01-19,0.062,0.12,2667,155,0.06,0.2968,3.45,0.16,-0.0895
603000,0.4759,2012-07-25,2023-03-28,1.8557,0.1073,0.6521,2015-06-15,2018-10-09,0.0227,0.02,2595,154,0.06,0.3117,3.78,0.11,-0.1975
603027,0.4897,2016-06-01,2023-03-28,3.6446,0.2629,0.3265,2021-11-22,2022-05-24,0.0086,0.01,1658,89,0.05,0.382,3.2,0.61,-0.174
603588,0.4948,2015-04-01,2023-03-28,1.038,0.1022,0.3193,2015-11-18,2018-12-06,0.0952,0.18,1843,96,0.05,0.3542,2.8,0.3,-0.0976
