stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.5028,2012-04-20,2023-03-28,0.7784,0.0561,0.414,2019-11-15,2022-09-28,-0.0312,-0.07,2657,53,0.02,0.3962,2.3,0.14,-0.1349
000681,0.5029,2013-11-11,2023-03-28,0.27,0.0271,0.6778,2015-12-11,2022-09-05,-0.0119,-0.02,2251,50,0.02,0.42,1.9,0.03,-0.2724
000776,0.5043,2012-04-09,2023-03-28,0.3001,0.0252,0.5136,2015-12-11,2023-02-17,-0.0037,-0.01,2661,54,0.02,0.4074,2.18,0.03,-0.1458
000858,0.5203,2012-04-09,2023-03-28,3.9762,0.1677,0.3937,2017-12-04,2018-12-28,-0.0397,-0.07,2608,51,0.02,0.4706,2.5,0.33,-0.1566
000868,0.512,2012-04-09,2023-03-28,1.8682,0.1082,0.5615,2018-01-31,2022-01-25,0.0853,0.13,2584,50,0.02,0.5,1.89,0.22,-0.1764
001979,0.5009,2016-03-31,2023-03-28,-0.2871,-0.0494,0.4277,2016-09-09,2021-07-26,-0.0659,-0.16,1685,37,0.02,0.3514,1.6,-0.3,-0.1677
002079,0.4977,2012-04-10,2023-03-28,0.8996,0.0638,0.5164,2015-04-21,2016-04-26,-0.0231,-0.04,2614,49,0.02,0.4898,1.67,0.14,-0.24
002248,0.4959,2012-04-12,2023-03-28,-0.5421,-0.0784,0.6808,2016-01-08,2023-02-28,-0.075,-0.13,2412,55,0.02,0.2909,2.01,-0.33,-0.2719
002510,0.5035,2012-04-10,2023-03-28,0.2538,0.0223,0.6361,2016-06-23,2022-01-25,-0.0217,-0.04,2588,55,0.02,0.4,1.94,0.03,-0.2198
002528,0.5088,2012-04-11,2023-03-28,1.3679,0.0884,0.4194,2015-12-14,2020-04-24,-0.055,-0.09,2563,53,0.02,0.434,2.32,0.19,-0.2812
002594,0.5124,2012-04-09,2023-03-28,7.2102,0.2209,0.3195,2017-11-01,2019-12-13,-0.0081,-0.01,2658,52,0.02,0.5192,2.7,0.48,-0.2004
300059,0.514,2012-04-10,2023-03-28,34.9145,0.4129,0.4151,2015-12-04,2020-05-29,-0.0233,-0.03,2611,55,0.02,0.4727,4.93,0.53,-0.2687
300123,0.5112,2012-04-10,2023-03-28,4.9071,0.2035,0.3658,2015-05-12,2017-12-04,0.106,0.15,2416,48,0.02,0.4167,3.49,0.38,-0.1406
600011,0.4781,2012-04-10,2023-03-28,-0.3703,-0.0428,0.7364,2015-07-10,2023-01-31,-0.1267,-0.25,2667,60,0.02,0.2667,2.79,-0.16,-0.2331
600027,0.4861,2012-04-10,2023-03-28,-0.0878,-0.0087,0.7429,2015-05-25,2020-12-15,-0.1116,-0.23,2660,58,0.02,0.3966,1.78,-0.07,-0.2176
600050,0.4878,2012-04-09,2023-03-28,-0.2707,-0.0304,0.6866,2015-05-22,2022-09-22,-0.0738,-0.16,2573,55,0.02,0.3818,1.69,-0.14,-0.1773
600150,0.4927,2012-04-09,2023-03-28,0.1317,0.0123,0.6054,2015-05-20,2021-03-18,0.0161,0.03,2541,52,0.02,0.4038,1.86,-0.0,-0.1812
600325,0.5024,2012-04-11,2023-03-28,1.3425,0.0841,0.3476,2015-08-12,2016-01-11,-0.0332,-0.06,2655,69,0.03,0.5072,1.63,0.2,-0.1741
600354,0.487,2012-04-10,2023-03-28,-0.8522,-0.168,0.9078,2013-02-28,2020-08-12,-0.1601,-0.26,2620,57,0.02,0.2982,1.6,-0.48,-0.3497
600406,0.5004,2012-04-10,2023-03-28,0.1522,0.0142,0.3336,2012-04-10,2012-11-20,-0.1055,-0.21,2526,55,0.02,0.4364,1.59,0.0,-0.2434
600674,0.4906,2012-04-13,2023-03-28,1.3782,0.0855,0.2866,2015-05-18,2016-01-11,-0.0846,-0.24,2662,57,0.02,0.5088,1.76,0.33,-0.1446
600733,0.5285,2012-04-10,2023-03-28,4.9064,0.2301,0.3967,2016-08-30,2020-03-13,0.1711,0.27,2161,50,0.02,0.54,2.39,0.55,-0.099
600809,0.4942,2012-04-10,2023-03-28,0.4444,0.0355,0.7163,2012-06-29,2016-03-08,-0.2361,-0.36,2655,54,0.02,0.5185,1.39,0.04,-0.3258
600893,0.4974,2012-04-11,2023-03-28,1.497,0.0952,0.6136,2015-06-23,2020-03-23,-0.023,-0.04,2535,50,0.02,0.46,2.28,0.18,-0.2063
601828,0.5117,2018-04-23,2023-03-28,-0.3094,-0.0752,0.3402,2021-07-26,2023-03-17,0.0943,0.26,1194,25,0.02,0.32,1.21,-0.58,-0.0065
601898,0.4942,2012-04-09,2023-03-28,0.1587,0.014,0.5346,2015-05-19,2020-03-16,0.0041,0.01,2667,57,0.02,0.4211,1.71,0.0,-0.1369
603000,0.504,2012-07-25,2023-03-28,2.9806,0.1436,0.5045,2020-02-10,2022-03-14,0.059,0.06,2595,57,0.02,0.4386,3.31,0.17,-0.1779
603027,0.4849,2016-06-01,2023-03-28,0.4784,0.0612,0.455,2020-09-16,2022-05-17,-0.1931,-0.3,1658,37,0.02,0.4865,1.67,0.1,-0.3054
603588,0.4959,2015-04-01,2023-03-28,-0.2118,-0.032,0.5052,2015-06-29,2018-09-10,-0.039,-0.07,1843,37,0.02,0.3784,1.77,-0.13,-0.2128
