stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4881,2012-04-20,2023-03-28,-0.2719,-0.0296,0.3982,2019-07-25,2022-11-16,-0.1169,-0.32,2657,55,0.02,0.5818,0.58,-0.33,-0.2082
000681,0.5131,2013-11-11,2023-03-28,3.8586,0.1936,0.2688,2015-07-22,2015-10-13,0.1546,0.26,2251,75,0.03,0.6267,1.37,0.69,-0.1501
000776,0.5032,2012-04-09,2023-03-28,0.4181,0.0336,0.2174,2021-02-22,2023-03-22,0.0047,0.01,2661,86,0.03,0.5698,1.08,0.14,-0.1388
000858,0.4977,2012-04-09,2023-03-28,0.5576,0.0437,0.4633,2012-09-28,2014-03-12,-0.1637,-0.4,2608,46,0.02,0.7174,0.63,0.16,-0.2456
000868,0.507,2012-04-09,2023-03-28,1.2257,0.0812,0.5685,2018-01-15,2019-01-09,0.0583,0.1,2584,78,0.03,0.6282,0.98,0.29,-0.1889
001979,0.5003,2016-03-31,2023-03-28,0.38,0.0493,0.345,2019-07-22,2021-09-08,0.0328,0.09,1685,55,0.03,0.6364,0.89,0.24,-0.0788
002079,0.4935,2012-04-10,2023-03-28,0.4285,0.035,0.4292,2016-11-01,2018-12-19,-0.0519,-0.1,2614,63,0.02,0.5397,1.19,0.1,-0.2647
002248,0.4967,2012-04-12,2023-03-28,-0.2192,-0.0255,0.5367,2016-11-08,2021-04-15,-0.0221,-0.04,2412,61,0.03,0.5246,0.96,-0.15,-0.2285
002510,0.505,2012-04-10,2023-03-28,1.6632,0.1001,0.3421,2017-06-19,2018-12-04,0.0561,0.11,2588,76,0.03,0.6184,1.26,0.43,-0.1562
002528,0.5119,2012-04-11,2023-03-28,7.27,0.2309,0.3154,2016-08-03,2018-11-23,0.0875,0.16,2563,89,0.03,0.6629,1.64,0.94,-0.1822
002594,0.4981,2012-04-09,2023-03-28,0.7123,0.0523,0.4459,2012-04-09,2012-10-30,-0.1767,-0.35,2658,84,0.03,0.619,0.97,0.18,-0.3109
300059,0.4902,2012-04-10,2023-03-28,1.425,0.0893,0.3442,2016-11-23,2017-07-17,-0.3469,-0.6,2611,75,0.03,0.68,0.87,0.36,-0.4349
300123,0.4967,2012-04-10,2023-03-28,0.3052,0.0282,0.6293,2019-12-19,2022-07-11,-0.0693,-0.13,2416,54,0.02,0.6296,0.81,0.06,-0.2676
600011,0.5062,2012-04-10,2023-03-28,0.2766,0.0233,0.3482,2019-08-02,2022-08-01,-0.0606,-0.15,2667,86,0.03,0.6163,0.79,0.06,-0.1835
600027,0.4974,2012-04-10,2023-03-28,0.0805,0.0074,0.3091,2013-05-20,2018-03-09,-0.0955,-0.24,2660,88,0.03,0.5114,1.09,-0.05,-0.2056
600050,0.4955,2012-04-09,2023-03-28,-0.1899,-0.0204,0.4009,2013-11-18,2018-12-05,-0.0638,-0.16,2573,73,0.03,0.589,0.68,-0.19,-0.1725
600150,0.4935,2012-04-09,2023-03-28,-0.4359,-0.0552,0.677,2015-08-12,2020-02-03,-0.0514,-0.1,2541,73,0.03,0.5753,0.68,-0.25,-0.2377
600325,0.522,2012-04-11,2023-03-28,4.5007,0.1756,0.1636,2018-05-16,2018-09-26,0.0583,0.14,2655,91,0.03,0.6264,1.89,0.89,-0.1025
600354,0.513,2012-04-10,2023-03-28,1.4654,0.0907,0.5266,2016-04-21,2019-10-30,0.0986,0.17,2620,82,0.03,0.5488,1.39,0.27,-0.1555
600406,0.5107,2012-04-10,2023-03-28,1.5597,0.0983,0.3013,2015-08-14,2015-09-30,-0.0214,-0.05,2526,95,0.04,0.5789,1.44,0.45,-0.1756
600674,0.5045,2012-04-13,2023-03-28,0.9841,0.067,0.1969,2015-07-13,2016-04-15,-0.1031,-0.34,2662,84,0.03,0.6429,1.21,0.4,-0.159
600733,0.5021,2012-04-10,2023-03-28,0.54,0.0516,0.438,2021-12-08,2023-03-15,-0.0074,-0.01,2161,51,0.02,0.6667,0.78,0.16,-0.2296
600809,0.5066,2012-04-10,2023-03-28,0.6446,0.0484,0.4926,2012-12-18,2013-12-30,-0.2232,-0.45,2655,73,0.03,0.6438,0.85,0.15,-0.3258
600893,0.5073,2012-04-11,2023-03-28,1.147,0.0789,0.3367,2015-07-17,2018-03-07,-0.0393,-0.08,2535,76,0.03,0.5526,1.48,0.24,-0.2183
601828,0.5209,2018-04-23,2023-03-28,-0.1929,-0.0442,0.3716,2021-05-10,2022-07-26,0.1253,0.32,1194,42,0.04,0.619,0.57,-0.25,0.0301
601898,0.4998,2012-04-09,2023-03-28,0.1388,0.0124,0.4824,2012-05-02,2014-07-17,0.0025,0.01,2667,65,0.02,0.5846,0.87,-0.01,-0.1363
603000,0.5148,2012-07-25,2023-03-28,1.5587,0.0955,0.5499,2016-10-20,2018-11-08,0.0109,0.02,2595,80,0.03,0.55,1.36,0.35,-0.2083
603027,0.5103,2016-06-01,2023-03-28,0.8424,0.0973,0.232,2021-03-29,2022-05-06,-0.157,-0.34,1658,32,0.02,0.6562,1.12,0.49,-0.2804
603588,0.5209,2015-04-01,2023-03-28,1.6483,0.1424,0.418,2017-07-05,2019-01-08,0.1354,0.26,1843,60,0.03,0.6,1.34,0.41,-0.0569
