stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4945,2012-04-20,2023-03-28,0.9616,0.066,0.312,2021-10-18,2022-10-24,-0.0213,-0.05,2657,192,0.07,0.4323,1.73,0.22,-0.1223
000681,0.5149,2013-11-11,2023-03-28,1.5011,0.1081,0.6507,2018-03-06,2021-07-28,0.0691,0.1,2251,57,0.03,0.4386,2.16,0.24,-0.2172
000776,0.4927,2012-04-09,2023-03-28,1.2135,0.0782,0.3771,2012-10-17,2014-07-21,0.0493,0.09,2661,127,0.05,0.4803,1.77,0.15,-0.0982
000858,0.485,2012-04-09,2023-03-28,0.9693,0.0677,0.3658,2021-05-25,2022-10-21,-0.1397,-0.33,2608,219,0.08,0.4658,1.47,0.22,-0.2236
000868,0.4996,2012-04-09,2023-03-28,0.6178,0.048,0.5288,2020-01-03,2022-04-26,0.0251,0.04,2584,33,0.01,0.3939,2.72,0.1,-0.217
001979,0.5027,2016-03-31,2023-03-28,0.2859,0.0383,0.2461,2022-11-17,2023-03-28,0.0218,0.06,1685,89,0.05,0.4607,1.48,0.13,-0.0879
002079,0.5023,2012-04-10,2023-03-28,2.6969,0.1343,0.3112,2016-09-08,2018-06-11,0.0474,0.08,2614,48,0.02,0.5625,1.96,0.45,-0.1974
002248,0.4851,2012-04-12,2023-03-28,-0.8304,-0.1692,0.8709,2012-04-12,2020-12-21,-0.1658,-0.31,2412,94,0.04,0.4043,0.76,-0.78,-0.3432
002510,0.4992,2012-04-10,2023-03-28,0.4033,0.0335,0.4501,2016-04-08,2019-11-19,-0.0105,-0.02,2588,64,0.02,0.4375,1.73,0.07,-0.2075
002528,0.5092,2012-04-11,2023-03-28,1.5335,0.0957,0.5507,2016-04-15,2022-04-21,-0.0477,-0.08,2563,77,0.03,0.4545,2.02,0.22,-0.2711
002594,0.4981,2012-04-09,2023-03-28,3.3237,0.1489,0.352,2012-04-09,2012-09-24,-0.0801,-0.15,2658,93,0.03,0.4516,2.43,0.47,-0.2453
300059,0.5163,2012-04-10,2023-03-28,3.3043,0.1513,0.6648,2015-06-11,2018-09-26,-0.2849,-0.42,2611,82,0.03,0.5854,1.25,0.32,-0.3992
300123,0.5058,2012-04-10,2023-03-28,1.5016,0.1004,0.4385,2014-11-12,2018-06-25,0.0029,0.0,2416,32,0.01,0.5312,1.88,0.22,-0.2113
600011,0.5081,2012-04-10,2023-03-28,0.9603,0.0657,0.4018,2015-06-15,2018-02-05,-0.0182,-0.04,2667,180,0.07,0.4389,1.71,0.18,-0.145
600027,0.5049,2012-04-10,2023-03-28,0.2751,0.0233,0.5183,2012-06-21,2014-01-08,-0.0796,-0.19,2660,170,0.06,0.4412,1.48,0.04,-0.1893
600050,0.5099,2012-04-09,2023-03-28,0.5431,0.0434,0.4856,2017-03-22,2022-11-11,0.0,0.0,2573,162,0.06,0.4259,1.72,0.11,-0.1177
600150,0.5049,2012-04-09,2023-03-28,5.0723,0.1959,0.2916,2012-10-12,2013-09-24,0.1997,0.35,2541,85,0.03,0.5529,1.89,0.5,-0.0326
600325,0.487,2012-04-11,2023-03-28,-0.6532,-0.0956,0.7341,2012-04-20,2022-03-10,-0.2129,-0.47,2655,85,0.03,0.4118,0.93,-0.54,-0.3139
600354,0.5118,2012-04-10,2023-03-28,1.6583,0.0986,0.3323,2017-07-25,2018-10-11,0.1065,0.18,2620,50,0.02,0.52,1.67,0.24,-0.1452
600406,0.481,2012-04-10,2023-03-28,-0.0922,-0.0096,0.6199,2017-11-09,2023-01-04,-0.1293,-0.27,2526,168,0.07,0.4762,1.17,-0.09,-0.2539
600674,0.4869,2012-04-13,2023-03-28,0.8958,0.0624,0.1542,2014-09-25,2015-09-17,-0.1077,-0.34,2662,168,0.06,0.4881,1.49,0.32,-0.1634
600733,0.5137,2012-04-10,2023-03-28,0.1524,0.0167,0.576,2015-06-18,2020-08-31,-0.0423,-0.07,2161,70,0.03,0.5,1.23,0.01,-0.2525
600809,0.4976,2012-04-10,2023-03-28,0.4291,0.0345,0.6474,2012-10-24,2015-09-16,-0.2371,-0.46,2655,204,0.08,0.5049,1.17,0.07,-0.3296
600893,0.4923,2012-04-11,2023-03-28,0.7975,0.06,0.6787,2015-05-26,2019-12-23,-0.0582,-0.08,2535,121,0.05,0.4298,2.21,0.08,-0.2214
601828,0.5,2018-04-23,2023-03-28,-0.5384,-0.1505,0.5426,2018-04-23,2022-10-24,0.019,0.05,1194,54,0.05,0.3148,1.06,-1.02,-0.0857
601898,0.4976,2012-04-09,2023-03-28,-0.2653,-0.0287,0.4588,2021-09-06,2023-03-10,-0.0386,-0.09,2667,171,0.06,0.3918,1.54,-0.18,-0.1707
603000,0.4998,2012-07-25,2023-03-28,2.1835,0.119,0.5769,2014-01-06,2017-12-19,0.0344,0.05,2595,96,0.04,0.4792,1.94,0.18,-0.1874
603027,0.5084,2016-06-01,2023-03-28,0.689,0.0829,0.5378,2021-01-26,2022-05-19,-0.1714,-0.33,1658,42,0.03,0.5476,1.28,0.22,-0.2838
603588,0.4829,2015-04-01,2023-03-28,0.0321,0.0043,0.3812,2021-05-06,2022-10-21,-0.0027,-0.01,1843,66,0.04,0.5,1.13,-0.04,-0.1752
