,date,close,average,turnover_ratio,market_cap
0,2011-03-02,36.88,37.43,64.9063,24.7096
1,2011-03-03,35.1,35.46,25.8131,23.517
2,2011-03-04,35.35,35.22,10.9139,23.6845
3,2011-03-07,35.2,35.1,12.46,23.584
4,2011-03-08,34.62,34.74,12.1531,23.1954
5,2011-03-09,35.0,34.81,7.4377,23.45
6,2011-03-10,34.74,34.78,6.2948,23.2758
7,2011-03-11,34.65,34.72,5.7157,23.2155
8,2011-03-14,35.06,34.95,5.6567,23.4902
9,2011-03-15,34.8,34.77,5.701,23.316
10,2011-03-16,35.05,34.99,5.7993,23.4835
11,2011-03-17,34.36,34.6,5.8844,23.0212
12,2011-03-18,34.52,34.45,3.4857,23.1284
13,2011-03-21,35.0,34.88,6.324,23.45
14,2011-03-22,35.97,35.71,18.1896,24.0999
15,2011-03-23,35.45,35.42,7.5019,23.7515
16,2011-03-24,35.3,35.38,5.3075,23.651
17,2011-03-25,35.2,35.18,5.2731,23.584
18,2011-03-28,34.67,34.78,5.7363,23.2289
19,2011-03-29,34.22,34.51,4.0649,22.9274
20,2011-03-30,33.86,34.04,3.5133,22.6862
21,2011-03-31,33.9,33.97,2.2043,22.713
22,2011-04-01,34.1,34.02,1.902,22.847
23,2011-04-06,33.33,33.4,4.1713,22.3311
24,2011-04-07,34.87,34.89,8.9531,23.3629
25,2011-04-08,34.79,34.69,3.9331,23.3093
26,2011-04-11,34.62,34.9,3.7357,23.1954
27,2011-04-12,34.5,34.51,2.001,23.115
28,2011-04-13,34.79,34.67,2.0686,23.3093
29,2011-04-14,34.58,34.63,2.3751,23.1686
30,2011-04-15,34.88,34.7,2.5127,23.3696
31,2011-04-18,34.2,34.48,3.6729,22.914
32,2011-04-19,34.2,34.29,2.4112,22.914
33,2011-04-20,34.33,34.27,2.0056,23.0011
34,2011-04-21,34.54,34.51,2.9188,23.1418
35,2011-04-22,34.71,34.78,2.2935,23.2557
36,2011-04-25,33.93,34.11,2.2069,22.7331
37,2011-04-26,33.4,33.56,1.9739,22.378
38,2011-04-27,33.15,33.36,1.3768,22.2105
39,2011-04-28,31.97,32.69,2.4582,21.4199
40,2011-04-29,32.39,32.3,0.9113,21.7013
41,2011-05-03,32.3,32.21,0.973,21.641
42,2011-05-04,32.12,32.16,1.1761,21.5204
43,2011-05-05,32.38,32.28,0.6901,21.6946
44,2011-05-06,32.46,32.34,0.7628,21.7482
45,2011-05-09,32.57,32.57,0.6529,21.8219
46,2011-05-10,32.75,32.61,0.6824,21.9425
47,2011-05-11,32.65,32.6,0.9375,21.8755
48,2011-05-12,32.15,32.33,0.9996,21.5405
49,2011-05-13,32.25,32.14,0.6685,21.6075
50,2011-05-16,32.19,32.18,0.8288,21.5673
51,2011-05-17,32.58,32.44,0.8727,21.8286
52,2011-05-18,32.46,32.55,0.7515,21.7482
53,2011-05-19,32.41,32.54,0.6926,21.7147
54,2011-05-23,31.62,31.91,1.2232,21.1854
55,2011-05-24,31.2,31.02,0.8392,20.904
56,2011-05-25,30.74,30.85,0.617,20.5958
57,2011-05-26,30.43,30.67,0.587,20.3881
58,2011-05-27,29.3,29.67,1.4899,19.631
59,2011-05-30,29.25,29.34,0.6936,19.5975
60,2011-05-31,29.69,29.36,0.76,19.8923
61,2011-06-01,29.94,29.77,0.582,20.0598
62,2011-06-02,28.99,29.06,1.6732,19.4233
63,2011-06-03,29.0,29.05,3.6517,19.43
64,2011-06-07,29.08,29.05,1.0343,19.4836
65,2011-06-08,28.47,28.42,2.2146,19.0749
66,2011-06-09,27.54,27.92,2.6423,18.4518
67,2011-06-10,27.58,27.46,1.5309,18.4786
68,2011-06-13,27.99,27.99,2.8144,18.7533
69,2011-06-14,28.0,27.94,2.1488,18.76
70,2011-06-15,27.95,27.92,1.6663,18.7265
71,2011-06-16,27.51,27.62,2.0438,18.4317
72,2011-06-17,26.3,26.69,1.4869,17.487
73,2011-06-20,25.29,25.54,1.4014,16.817
74,2011-06-21,25.59,25.52,1.102,17.018
75,2011-06-22,25.69,25.65,0.8989,17.085
76,2011-06-23,26.8,26.44,2.1288,17.822
77,2011-06-24,27.57,27.23,3.2421,18.3312
78,2011-06-27,28.01,28.02,3.5762,18.626
79,2011-06-28,27.93,27.77,1.956,18.5724
80,2011-06-29,28.31,28.53,3.0841,18.827
81,2011-06-30,28.17,28.19,2.0351,18.7332
82,2011-07-01,28.19,28.27,1.6109,18.7466
83,2011-07-04,28.65,28.45,2.575,19.0548
84,2011-07-05,29.0,28.87,2.7643,19.2826
85,2011-07-06,30.37,29.7,5.1011,20.1938
86,2011-07-07,30.0,30.12,4.9101,19.9526
87,2011-07-08,29.38,29.58,2.6124,19.5372
88,2011-07-11,29.82,29.81,1.7673,19.832
89,2011-07-12,28.79,29.13,2.7491,19.1486
90,2011-07-13,29.4,29.28,1.5024,19.5506
91,2011-07-14,30.12,29.87,3.0736,20.033
92,2011-07-15,31.25,30.81,5.5755,20.7834
93,2011-07-18,31.21,31.72,5.4644,20.7566
94,2011-07-19,30.49,30.54,2.1717,20.2742
95,2011-07-20,30.79,30.75,1.8579,20.4752
96,2011-07-21,30.39,30.64,1.6831,20.2072
97,2011-07-22,30.99,30.85,2.7218,20.6092
98,2011-07-25,29.72,30.32,3.0226,19.765
99,2011-07-26,30.18,29.84,1.4159,20.0732
100,2011-07-27,31.41,30.95,3.9345,20.8906
101,2011-07-28,32.0,32.17,10.9554,21.2792
102,2011-07-29,30.59,30.95,5.9315,20.3412
103,2011-08-01,31.33,30.64,3.8799,20.837
104,2011-08-02,31.72,31.21,3.218,21.0916
105,2011-08-03,31.55,31.36,4.833,20.9844
106,2011-08-04,31.13,31.31,2.1012,20.703
107,2011-08-05,30.12,30.11,2.5638,20.033
108,2011-08-08,28.15,28.69,2.9512,18.7198
109,2011-08-09,27.81,27.21,1.8787,18.492
110,2011-08-10,28.05,28.35,1.7493,18.6528
111,2011-08-11,28.21,27.8,1.5222,18.76
112,2011-08-15,28.85,28.75,2.1351,19.1888
113,2011-08-16,28.45,28.68,1.8002,18.9208
114,2011-08-17,28.73,28.64,1.5609,19.1084
115,2011-08-18,28.77,28.83,1.9978,19.1352
