,date,close,average,turnover_ratio,market_cap
0,2021-03-25,162.82,165.12,71.1578,689.7055
1,2021-03-26,175.97,175.71,41.7211,745.4089
2,2021-03-29,170.6,166.17,35.6462,722.6616
3,2021-03-30,175.02,178.4,30.8618,741.3847
4,2021-03-31,167.77,173.57,21.5965,710.6737
5,2021-04-01,176.0,173.91,22.9269,745.536
6,2021-04-02,176.51,175.97,18.4302,747.6964
7,2021-04-06,193.09,187.52,23.0998,817.9292
8,2021-04-07,197.0,195.03,20.2065,834.492
9,2021-04-08,211.65,204.95,22.5295,896.5494
10,2021-04-09,205.2,210.72,16.3464,869.2272
11,2021-04-12,197.39,199.83,20.9132,836.144
12,2021-04-13,198.0,196.75,15.2346,838.728
13,2021-04-14,200.8,202.18,14.3851,850.5888
14,2021-04-15,189.88,195.01,13.7888,804.3317
15,2021-04-16,196.49,194.57,14.6535,832.3316
16,2021-04-19,207.49,201.86,13.2757,878.9276
17,2021-04-20,205.81,208.79,13.6949,871.8112
18,2021-04-21,214.06,211.88,13.2413,906.7582
19,2021-04-22,228.48,224.14,15.487,967.8413
20,2021-04-23,223.99,222.85,8.7209,948.8216
21,2021-04-26,215.0,223.13,10.7403,910.74
22,2021-04-27,225.08,218.89,10.9429,953.4389
23,2021-04-28,228.79,226.8,8.8171,969.1544
24,2021-04-29,224.1,224.61,12.3328,949.2876
25,2021-04-30,242.89,237.35,11.8984,1028.882
26,2021-05-06,226.48,233.51,13.1845,959.3693
27,2021-05-07,214.0,217.73,12.3618,906.504
28,2021-05-10,216.6,216.36,6.5918,917.5176
29,2021-05-11,226.3,218.82,9.2239,958.6068
30,2021-05-12,233.9,230.51,8.0325,990.8004
31,2021-05-13,237.69,236.31,8.8248,1006.8548
32,2021-05-14,235.71,236.8,5.7265,998.4676
33,2021-05-17,264.0,257.63,10.9635,1118.304
34,2021-05-18,269.48,267.26,6.442,1141.5173
35,2021-05-19,269.99,270.9,6.681,1143.6776
36,2021-05-20,271.1,270.44,4.5607,1148.3796
37,2021-05-21,260.21,262.94,5.4896,1102.2496
38,2021-05-24,262.6,263.21,3.762,1112.3737
39,2021-05-25,281.5,277.77,7.1085,1192.434
40,2021-05-26,275.59,276.92,4.7007,1167.3992
41,2021-05-27,278.0,277.99,4.2666,1177.608
42,2021-05-28,268.39,272.46,6.6318,1136.9
43,2021-05-31,273.1,270.92,5.8985,1156.8516
44,2021-06-01,269.4,269.93,5.4645,1141.1783
45,2021-06-02,245.44,254.57,10.2496,1039.6838
46,2021-06-03,246.5,249.82,6.1955,1044.174
47,2021-06-04,254.64,253.37,4.9568,1078.655
