,10_20,10_30,10_60,5_20,5_30,5_60
2007-04-05,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-06,0.0,0.0,0.0,9.005023713226355e-07,4.275602195231669e-06,0.0
2007-04-09,0.0,0.0,0.0,-5.72230480141885e-07,1.1954030864690096e-05,0.0
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-11,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-12,3.146059095170271e-05,2.1822963052614878e-05,0.0,0.0,0.0,0.0
2007-04-13,4.403641464940698e-06,0.0,0.0,0.0,0.0,0.0
2007-04-16,-2.5743608403910443e-07,1.0170557259715534e-05,0.0,1.9196242963228892e-06,0.0,0.0
2007-04-17,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-18,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-19,-6.409991980136529e-07,-6.409991980136529e-07,0.0,-6.409991980136529e-07,-6.409991980136529e-07,5.97238675841569e-07
2007-04-20,0.0,0.0,0.0,0.0,-2.3016501032212675e-05,0.0
2007-04-23,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-24,0.0,-2.439950460425604e-06,0.0,-7.94533053085329e-06,0.0,0.0
2007-04-25,0.0,0.0,0.0,1.715576056152744e-05,0.0,0.0
2007-04-26,1.8018648187797134e-05,-1.283970439373019e-05,1.0092601830477715e-05,0.00033485822984240845,1.8018648187797134e-05,1.1446113091723034e-05
2007-04-27,2.1373249026279705e-06,2.1373249026279705e-06,6.371931149989256e-07,-0.00013873930617831854,-3.396578588486835e-05,-1.6077676621557006e-06
2007-04-30,0.0,0.0,0.0,0.0,-3.4036714306999245e-06,-3.420306486215354e-06
2007-05-08,3.972665265426645e-06,0.0,0.0,-4.699364718892762e-06,0.0,0.0
2007-05-09,0.0,0.0,0.0,-5.872589377139579e-06,0.0,1.679756719666288e-07
2007-05-10,-4.670452882509058e-06,0.0,0.0,-1.6151100456704975e-05,-2.086931561146808e-06,0.0
2007-05-11,2.4302460445560608e-05,0.0,-3.0704994558164596e-06,9.048642925604898e-07,0.0,0.0
2007-05-14,7.2168003372346314e-06,0.0,2.756721375178898e-06,6.361395371737685e-06,-1.6266542963294076e-05,-1.4628011394199445e-05
2007-05-15,-6.697277074167457e-05,-3.1864494571671135e-06,0.0,2.8141897861354524e-05,-5.245906906314546e-06,0.0
2007-05-16,8.92143424963335e-06,0.0,0.0,-3.4352273240115825e-06,0.0,0.0
2007-05-17,2.062698263070399e-05,0.0,0.0,0.00010499986384005006,0.0,0.0
