stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.5019,2012-04-20,2019-12-31,2.1097,0.1649,0.1975,2017-12-18,2018-08-20,0.0049,0.01,1873,72,0.04,0.5278,2.12,0.54,-0.1059
000002,0.4798,2012-04-09,2019-12-31,0.0652,0.0092,0.5268,2013-02-26,2014-02-25,-0.259,-0.55,1734,96,0.06,0.4062,1.68,-0.02,-0.3197
000063,0.4823,2012-04-09,2019-12-31,0.5339,0.0616,0.4082,2012-04-09,2014-07-10,-0.0893,-0.15,1804,89,0.05,0.4494,1.71,0.13,-0.2521
000069,0.481,2012-04-09,2019-12-31,0.2536,0.0314,0.3308,2012-07-20,2014-04-23,-0.0391,-0.08,1840,97,0.05,0.433,1.71,0.06,-0.1568
000100,0.5018,2012-04-11,2019-12-31,1.2448,0.1281,0.2894,2015-08-10,2018-11-30,-0.0082,-0.02,1690,94,0.06,0.3936,2.78,0.38,-0.1467
000157,0.4965,2012-04-09,2019-12-31,-0.01,-0.0013,0.4178,2015-08-11,2018-09-05,0.0109,0.03,1877,96,0.05,0.4271,1.46,-0.07,-0.0924
000166,0.4829,2015-04-28,2019-12-31,-0.3237,-0.0847,0.4308,2015-04-28,2018-12-11,0.1039,0.27,1114,57,0.05,0.386,1.02,-0.63,-0.0024
000301,0.4962,2012-04-09,2019-12-31,0.0285,0.0041,0.4363,2015-12-22,2019-11-08,-0.0947,-0.2,1719,73,0.04,0.3151,2.49,-0.04,-0.2224
000333,0.4936,2013-12-20,2019-12-31,1.7568,0.1987,0.2924,2017-12-20,2018-12-06,-0.1389,-0.3,1410,60,0.04,0.4833,2.25,0.56,-0.211
000338,0.5,2012-04-09,2019-12-31,0.935,0.0925,0.2898,2017-11-29,2019-01-03,-0.0677,-0.15,1880,90,0.05,0.3889,2.49,0.27,-0.1762
000408,0.5216,2012-04-09,2019-12-31,1.128,0.1193,0.4888,2015-06-26,2019-01-28,0.1163,0.17,1689,76,0.04,0.4868,1.88,0.21,-0.1197
000425,0.4949,2012-04-09,2019-12-31,0.0929,0.0121,0.3594,2012-04-09,2014-06-17,-0.0202,-0.05,1867,91,0.05,0.4066,1.73,-0.01,-0.1406
000538,0.4855,2012-04-09,2019-12-31,0.3918,0.0496,0.3223,2015-05-07,2016-05-06,-0.1231,-0.34,1720,86,0.05,0.4651,1.55,0.18,-0.1901
000568,0.5005,2012-04-09,2019-12-31,0.4688,0.0533,0.4063,2012-04-09,2016-01-12,-0.0918,-0.19,1866,74,0.04,0.3649,2.43,0.12,-0.2009
