stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4939,2012-04-20,2019-12-31,0.8089,0.083,0.2362,2018-01-10,2018-11-13,-0.077,-0.18,1873,60,0.03,0.4167,2.22,0.27,-0.1673
000002,0.4735,2012-04-09,2019-12-31,0.8371,0.0924,0.3435,2018-03-16,2018-10-10,-0.1758,-0.36,1734,59,0.03,0.4746,1.68,0.26,-0.2606
000063,0.4745,2012-04-09,2019-12-31,0.6131,0.0691,0.5225,2017-12-01,2018-08-03,-0.0818,-0.14,1804,61,0.03,0.3934,2.22,0.14,-0.2398
000069,0.4717,2012-04-09,2019-12-31,-0.3205,-0.0515,0.6053,2015-05-06,2018-10-12,-0.122,-0.28,1840,61,0.03,0.377,1.53,-0.24,-0.2193
000100,0.4876,2012-04-11,2019-12-31,0.5711,0.0697,0.5971,2015-06-24,2018-11-27,-0.0666,-0.12,1690,51,0.03,0.3529,2.91,0.14,-0.1868
000157,0.4864,2012-04-09,2019-12-31,-0.3391,-0.0541,0.5127,2012-04-09,2018-09-04,-0.0419,-0.11,1877,59,0.03,0.339,1.67,-0.29,-0.1427
000166,0.5126,2015-04-28,2019-12-31,-0.1423,-0.0341,0.3786,2015-04-28,2018-11-27,0.1545,0.39,1114,35,0.03,0.3714,1.51,-0.25,0.0518
000301,0.5009,2012-04-09,2019-12-31,-0.0508,-0.0076,0.5534,2015-06-29,2019-01-04,-0.1064,-0.22,1719,57,0.03,0.3509,2.08,-0.07,-0.2246
000333,0.5177,2013-12-20,2019-12-31,3.0813,0.2858,0.2284,2015-05-18,2015-08-18,-0.0518,-0.1,1410,44,0.03,0.4773,3.24,0.79,-0.1604
000338,0.4995,2012-04-09,2019-12-31,0.9783,0.0958,0.4309,2015-04-30,2016-06-15,-0.0644,-0.13,1880,57,0.03,0.3684,2.8,0.23,-0.1715
000408,0.5092,2012-04-09,2019-12-31,0.6677,0.0793,0.4023,2017-09-28,2019-12-10,0.0763,0.11,1689,53,0.03,0.3962,2.46,0.15,-0.1635
000425,0.5013,2012-04-09,2019-12-31,0.4768,0.054,0.2833,2015-04-15,2017-01-17,0.0217,0.05,1867,59,0.03,0.3559,2.56,0.16,-0.1125
000538,0.4884,2012-04-09,2019-12-31,0.7213,0.0828,0.2747,2013-03-04,2014-05-29,-0.0899,-0.24,1720,62,0.04,0.4516,2.0,0.37,-0.1676
000568,0.4989,2012-04-09,2019-12-31,0.2622,0.0319,0.4704,2012-07-24,2016-03-01,-0.1132,-0.26,1866,59,0.03,0.4407,1.63,0.07,-0.2194
000596,0.4865,2012-04-09,2019-12-31,2.03,0.1599,0.3386,2012-04-09,2014-06-19,-0.0088,-0.01,1883,52,0.03,0.3846,3.17,0.31,-0.195
000625,0.4847,2012-04-10,2019-12-31,-0.1474,-0.0217,0.6335,2013-05-16,2018-11-26,-0.1601,-0.34,1828,55,0.03,0.3636,1.81,-0.13,-0.2673
000651,0.4701,2012-04-12,2019-12-31,1.8653,0.1664,0.3905,2018-02-08,2018-12-21,-0.2005,-0.42,1723,58,0.03,0.431,2.55,0.45,-0.2537
000661,0.4937,2012-04-09,2019-12-31,2.2026,0.1731,0.3703,2018-06-05,2018-12-17,-0.2677,-0.42,1837,60,0.03,0.45,2.43,0.34,-0.3263
000708,0.5,2012-04-09,2019-12-31,2.0972,0.1744,0.2746,2017-09-22,2018-11-28,0.0281,0.05,1772,49,0.03,0.4082,3.41,0.41,-0.1042
000723,0.5134,2012-05-17,2019-12-31,5.3352,0.3289,0.3209,2015-07-02,2015-08-26,0.1853,0.13,1636,45,0.03,0.4444,4.49,0.24,-0.1321
000725,0.4821,2012-04-09,2019-12-31,0.3315,0.0392,0.4825,2015-05-08,2016-06-16,-0.0998,-0.21,1875,59,0.03,0.3559,2.46,0.09,-0.2082
000733,0.4652,2012-04-10,2019-12-31,0.0124,0.0017,0.6492,2015-06-19,2019-01-31,-0.137,-0.22,1853,56,0.03,0.3571,2.22,-0.03,-0.2897
000768,0.482,2012-04-09,2019-12-31,0.257,0.0314,0.3971,2015-06-23,2016-04-21,-0.0768,-0.14,1865,59,0.03,0.4237,1.79,0.05,-0.23
000776,0.4933,2012-04-09,2019-12-31,0.1278,0.0163,0.3875,2012-05-23,2014-05-22,-0.0098,-0.02,1877,65,0.03,0.4154,1.79,0.01,-0.1591
000786,0.4784,2012-04-09,2019-12-31,0.6428,0.0746,0.4174,2015-01-15,2016-06-17,-0.1739,-0.33,1739,59,0.03,0.4068,2.13,0.17,-0.273
000792,0.4862,2012-04-09,2019-12-31,-0.4745,-0.0839,0.633,2012-08-03,2017-07-18,0.0283,0.06,1851,54,0.03,0.3148,1.83,-0.33,-0.1403
000800,0.5032,2012-04-10,2019-12-31,0.1233,0.0159,0.5415,2015-05-25,2018-10-12,0.0232,0.04,1862,55,0.03,0.4,1.85,0.01,-0.1789
000858,0.5011,2012-04-09,2019-12-31,1.3923,0.1281,0.3396,2012-07-30,2014-03-03,-0.1094,-0.21,1824,58,0.03,0.3621,3.32,0.29,-0.1974
000876,0.4768,2012-04-10,2019-12-31,0.2319,0.0306,0.5756,2015-05-06,2018-10-17,-0.1294,-0.24,1743,57,0.03,0.3158,2.93,0.04,-0.235
000877,0.4909,2012-04-13,2019-12-31,0.0064,0.0009,0.5995,2015-05-05,2017-01-17,-0.0042,-0.01,1858,57,0.03,0.386,2.07,-0.02,-0.2026
000895,0.4922,2012-04-12,2019-12-31,0.6137,0.0668,0.2819,2012-04-12,2012-11-19,-0.0097,-0.02,1865,57,0.03,0.4561,1.77,0.23,-0.1125
000938,0.4908,2012-04-09,2019-12-31,0.5185,0.0645,0.6474,2015-07-01,2019-06-10,-0.207,-0.2,1683,56,0.03,0.4286,2.29,0.06,-0.3753
000963,0.487,2012-04-09,2019-12-31,0.801,0.0838,0.2399,2018-05-04,2018-11-16,-0.1195,-0.28,1842,60,0.03,0.4333,2.01,0.27,-0.2012
000977,0.4883,2012-04-09,2019-12-31,1.9118,0.1579,0.5264,2015-06-11,2018-11-26,-0.1809,-0.25,1837,67,0.04,0.403,2.6,0.29,-0.3437
001979,0.4951,2016-03-31,2019-12-31,-0.0679,-0.0191,0.3849,2018-03-14,2018-12-20,-0.1302,-0.34,917,36,0.04,0.4444,1.26,-0.15,-0.2033
002001,0.4765,2012-04-09,2019-12-31,0.9992,0.0979,0.305,2018-01-30,2018-10-15,-0.092,-0.19,1870,62,0.03,0.4839,1.8,0.28,-0.2169
002007,0.4853,2012-04-09,2019-12-31,0.1073,0.0138,0.5611,2015-06-10,2018-10-31,-0.1877,-0.37,1877,58,0.03,0.431,1.69,0.0,-0.2606
