stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4917,2012-04-20,2019-12-31,1.0321,0.1001,0.2691,2015-05-05,2016-06-13,-0.0599,-0.13,1873,107,0.06,0.2897,3.78,0.26,-0.1556
000002,0.4902,2012-04-09,2019-12-31,1.3673,0.1334,0.417,2013-02-18,2015-09-08,-0.1348,-0.26,1734,101,0.06,0.3465,2.97,0.34,-0.2333
000063,0.4645,2012-04-09,2019-12-31,0.3862,0.0467,0.5065,2015-05-28,2016-06-13,-0.1042,-0.18,1804,106,0.06,0.3113,2.8,0.1,-0.2647
000069,0.4696,2012-04-09,2019-12-31,0.3403,0.0409,0.3672,2015-06-29,2016-11-09,-0.0296,-0.07,1840,115,0.06,0.2957,2.93,0.11,-0.1494
000100,0.4817,2012-04-11,2019-12-31,1.2125,0.1257,0.4465,2015-06-17,2018-12-10,-0.0106,-0.02,1690,102,0.06,0.3137,3.58,0.3,-0.1434
000157,0.496,2012-04-09,2019-12-31,0.7718,0.0798,0.3471,2012-06-05,2014-07-07,0.092,0.23,1877,103,0.05,0.3204,3.14,0.26,-0.0222
000166,0.4713,2015-04-28,2019-12-31,-0.4563,-0.1288,0.5378,2015-06-16,2019-01-23,0.0598,0.16,1114,65,0.06,0.2308,1.94,-0.72,-0.0414
000301,0.47,2012-04-09,2019-12-31,0.1992,0.027,0.4479,2015-06-23,2016-09-29,-0.0718,-0.15,1719,107,0.06,0.3271,2.53,0.04,-0.2012
000333,0.4929,2013-12-20,2019-12-31,1.2702,0.1578,0.3704,2015-04-14,2016-02-25,-0.1798,-0.38,1410,84,0.06,0.4167,2.39,0.49,-0.2451
000338,0.4931,2012-04-09,2019-12-31,1.9935,0.1583,0.3531,2015-04-27,2016-06-24,-0.0019,-0.0,1880,107,0.06,0.3645,3.09,0.51,-0.1252
000408,0.5074,2012-04-09,2019-12-31,3.8705,0.2664,0.3421,2017-09-22,2019-01-22,0.2634,0.33,1689,97,0.06,0.3402,4.33,0.42,-0.0178
000425,0.4858,2012-04-09,2019-12-31,0.8851,0.0893,0.401,2015-06-17,2016-02-26,0.057,0.11,1867,104,0.06,0.2788,3.94,0.22,-0.0829
000538,0.4686,2012-04-09,2019-12-31,0.2198,0.0295,0.3083,2013-08-08,2015-09-24,-0.1432,-0.39,1720,112,0.07,0.3482,2.22,0.08,-0.206
000568,0.493,2012-04-09,2019-12-31,0.4981,0.0561,0.4572,2012-05-14,2014-07-09,-0.089,-0.19,1866,111,0.06,0.3243,2.71,0.15,-0.2002
000596,0.4817,2012-04-09,2019-12-31,1.4818,0.1294,0.401,2013-01-21,2014-06-17,-0.0393,-0.06,1883,105,0.06,0.2952,3.73,0.24,-0.214
000625,0.4798,2012-04-10,2019-12-31,0.8787,0.0908,0.4105,2015-05-06,2015-09-23,-0.0476,-0.1,1828,103,0.06,0.4078,2.13,0.28,-0.1831
000651,0.473,2012-04-12,2019-12-31,1.6632,0.154,0.3931,2018-02-05,2018-12-18,-0.2129,-0.45,1723,108,0.06,0.3704,2.77,0.46,-0.2659
000661,0.4845,2012-04-09,2019-12-31,3.4771,0.2283,0.2502,2015-11-06,2016-02-25,-0.2125,-0.36,1837,118,0.06,0.3475,3.48,0.52,-0.2967
000708,0.4831,2012-04-09,2019-12-31,1.4343,0.1349,0.4068,2017-09-15,2018-12-06,-0.0114,-0.02,1772,104,0.06,0.2692,4.61,0.3,-0.1333
000723,0.5055,2012-05-17,2019-12-31,12.4429,0.4922,0.4189,2013-08-30,2014-06-19,0.3486,0.34,1636,82,0.05,0.378,4.76,0.55,-0.036
000725,0.4752,2012-04-09,2019-12-31,0.7384,0.0771,0.3758,2017-11-15,2019-01-23,-0.0619,-0.12,1875,125,0.07,0.288,3.57,0.17,-0.1808
000733,0.4819,2012-04-10,2019-12-31,1.068,0.1039,0.573,2015-11-18,2019-11-11,-0.0348,-0.06,1853,107,0.06,0.3178,3.27,0.21,-0.2188
000768,0.4713,2012-04-09,2019-12-31,0.5421,0.0603,0.5324,2015-06-17,2018-01-30,-0.0479,-0.08,1865,112,0.06,0.2946,3.18,0.13,-0.216
000776,0.488,2012-04-09,2019-12-31,1.3845,0.1237,0.4518,2015-04-16,2016-03-10,0.0976,0.16,1877,112,0.06,0.3304,3.53,0.22,-0.0636
000786,0.4721,2012-04-09,2019-12-31,0.0873,0.0122,0.4301,2017-11-02,2018-11-09,-0.2363,-0.47,1739,117,0.07,0.3162,2.47,-0.0,-0.3132
000792,0.4895,2012-04-09,2019-12-31,-0.0715,-0.01,0.4179,2012-07-10,2014-07-07,0.1022,0.2,1851,112,0.06,0.3036,2.47,-0.08,-0.0728
000800,0.5021,2012-04-10,2019-12-31,1.5318,0.134,0.3524,2015-05-18,2017-08-10,0.1413,0.23,1862,101,0.05,0.3168,3.62,0.32,-0.0855
000858,0.4857,2012-04-09,2019-12-31,1.5041,0.1352,0.3842,2015-06-19,2016-02-25,-0.1023,-0.21,1824,114,0.06,0.3333,3.21,0.37,-0.1927
000876,0.4768,2012-04-10,2019-12-31,0.3864,0.0484,0.502,2015-04-16,2018-10-30,-0.1116,-0.22,1743,108,0.06,0.287,3.29,0.1,-0.2204
000877,0.5,2012-04-13,2019-12-31,1.385,0.1251,0.4166,2015-08-21,2016-09-12,0.12,0.18,1858,106,0.06,0.3208,3.4,0.23,-0.1101
000895,0.4686,2012-04-12,2019-12-31,-0.2229,-0.0335,0.4069,2013-11-20,2019-05-30,-0.11,-0.28,1865,116,0.06,0.3707,1.64,-0.21,-0.1933
000938,0.4694,2012-04-09,2019-12-31,1.273,0.1308,0.6495,2015-11-18,2019-01-30,-0.1407,-0.12,1683,108,0.06,0.2593,5.21,0.11,-0.3308
000963,0.4571,2012-04-09,2019-12-31,-0.3836,-0.0641,0.5691,2012-08-15,2019-05-22,-0.2674,-0.66,1842,128,0.07,0.2891,2.19,-0.34,-0.3088
000977,0.4671,2012-04-09,2019-12-31,1.609,0.1406,0.4633,2015-06-12,2019-07-18,-0.1982,-0.3,1837,109,0.06,0.3303,3.07,0.31,-0.3527
