stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.5088,2012-04-20,2019-12-31,1.8338,0.1504,0.2226,2017-12-13,2018-08-17,-0.0096,-0.02,1873,36,0.02,0.4722,2.54,0.41,-0.1175
000002,0.4867,2012-04-09,2019-12-31,0.5252,0.0633,0.3215,2017-10-18,2018-12-28,-0.2049,-0.43,1734,41,0.02,0.3902,2.34,0.17,-0.2823
000063,0.4939,2012-04-09,2019-12-31,0.5308,0.0613,0.4493,2017-12-08,2018-10-11,-0.0896,-0.15,1804,41,0.02,0.5122,1.39,0.12,-0.2549
000069,0.4886,2012-04-09,2019-12-31,-0.2526,-0.0391,0.6359,2015-05-12,2018-10-17,-0.1096,-0.21,1840,45,0.02,0.4667,1.21,-0.15,-0.2261
000100,0.5012,2012-04-11,2019-12-31,0.604,0.073,0.5868,2015-05-12,2018-12-04,-0.0633,-0.12,1690,36,0.02,0.4444,2.07,0.15,-0.1884
000157,0.4971,2012-04-09,2019-12-31,0.1286,0.0164,0.407,2015-05-13,2019-01-02,0.0286,0.07,1877,41,0.02,0.4146,1.73,0.01,-0.0813
000166,0.4874,2015-04-28,2019-12-31,-0.4706,-0.134,0.5665,2015-04-28,2018-12-06,0.0546,0.14,1114,25,0.02,0.24,1.31,-0.85,-0.0566
000301,0.5009,2012-04-09,2019-12-31,-0.3562,-0.0625,0.6914,2015-05-08,2019-11-05,-0.1613,-0.33,1719,39,0.02,0.359,1.67,-0.24,-0.2689
000333,0.517,2013-12-20,2019-12-31,3.3338,0.2996,0.3686,2017-12-07,2018-12-05,-0.038,-0.07,1410,25,0.02,0.56,2.75,0.69,-0.1505
000338,0.5064,2012-04-09,2019-12-31,1.5808,0.1355,0.3907,2013-01-18,2014-02-28,-0.0247,-0.05,1880,42,0.02,0.5238,1.71,0.36,-0.1497
000408,0.5121,2012-04-09,2019-12-31,-0.1329,-0.0211,0.4875,2015-07-02,2019-12-13,-0.0241,-0.04,1689,37,0.02,0.4324,1.41,-0.13,-0.2298
000425,0.5035,2012-04-09,2019-12-31,0.6557,0.0704,0.1938,2013-03-01,2014-06-10,0.0381,0.09,1867,39,0.02,0.4103,2.41,0.25,-0.1031
000538,0.489,2012-04-09,2019-12-31,0.2949,0.0386,0.3281,2015-07-10,2019-09-16,-0.1341,-0.35,1720,39,0.02,0.4103,1.96,0.1,-0.1986
000568,0.5086,2012-04-09,2019-12-31,1.6296,0.1395,0.3752,2012-04-09,2014-04-08,-0.0056,-0.01,1866,34,0.02,0.4412,2.88,0.36,-0.1443
000596,0.4976,2012-04-09,2019-12-31,0.3723,0.0433,0.5458,2012-04-09,2014-05-14,-0.1254,-0.2,1883,40,0.02,0.5,1.44,0.07,-0.2829
000625,0.506,2012-04-10,2019-12-31,1.1638,0.1123,0.4553,2015-11-11,2018-11-30,-0.0261,-0.05,1828,37,0.02,0.4865,2.0,0.25,-0.1657
000651,0.4951,2012-04-12,2019-12-31,5.5899,0.3175,0.1965,2018-02-14,2018-11-26,-0.0494,-0.1,1723,37,0.02,0.5135,3.77,0.85,-0.162
000661,0.4948,2012-04-09,2019-12-31,1.4742,0.1323,0.5054,2013-04-17,2016-03-07,-0.3085,-0.51,1837,40,0.02,0.5,1.86,0.27,-0.3495
000708,0.4966,2012-04-09,2019-12-31,0.7574,0.0835,0.494,2015-10-22,2018-10-22,-0.0628,-0.12,1772,36,0.02,0.4167,2.39,0.19,-0.1711
000723,0.5214,2012-05-17,2019-12-31,3.5992,0.265,0.4369,2012-05-17,2014-03-06,0.1214,0.11,1636,29,0.02,0.5517,2.96,0.25,-0.1747
000725,0.4992,2012-04-09,2019-12-31,1.5343,0.1331,0.3643,2015-05-13,2016-09-19,-0.0059,-0.01,1875,41,0.02,0.5122,2.03,0.4,-0.1421
