stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4891,2012-04-20,2019-12-31,0.0981,0.0127,0.2256,2012-05-03,2014-04-24,-0.1473,-0.41,1873,34,0.02,0.7059,0.53,-0.01,-0.2249
000002,0.5017,2012-04-09,2019-12-31,0.6559,0.076,0.2269,2017-06-23,2018-09-20,-0.1922,-0.46,1734,46,0.03,0.7609,0.62,0.4,-0.2736
000063,0.5055,2012-04-09,2019-12-31,0.0183,0.0025,0.4987,2012-04-20,2018-09-13,-0.1484,-0.28,1804,44,0.02,0.7045,0.54,-0.04,-0.2997
000069,0.5147,2012-04-09,2019-12-31,1.628,0.1415,0.2426,2017-11-22,2018-12-10,0.071,0.17,1840,73,0.04,0.6712,1.04,0.61,-0.0676
000100,0.5059,2012-04-11,2019-12-31,-0.0683,-0.0105,0.4093,2014-08-18,2018-09-26,-0.1468,-0.36,1690,38,0.02,0.6053,0.68,-0.14,-0.248
000157,0.4987,2012-04-09,2019-12-31,-0.2068,-0.0306,0.3475,2013-03-21,2015-10-12,-0.0184,-0.05,1877,47,0.03,0.5106,0.85,-0.25,-0.1273
000166,0.4946,2015-04-28,2019-12-31,-0.2497,-0.0629,0.4547,2015-04-28,2018-10-11,0.1257,0.32,1114,34,0.03,0.4412,0.94,-0.41,0.0216
000301,0.5061,2012-04-09,2019-12-31,1.3507,0.1335,0.1143,2015-08-10,2015-10-15,0.0347,0.08,1719,51,0.03,0.6667,1.35,0.75,-0.1207
000333,0.478,2013-12-20,2019-12-31,0.3772,0.0589,0.2243,2018-06-06,2019-01-16,-0.2787,-0.72,1410,34,0.02,0.6765,0.84,0.33,-0.3094
000338,0.4941,2012-04-09,2019-12-31,0.1153,0.0147,0.4361,2012-04-19,2016-06-06,-0.1455,-0.36,1880,47,0.03,0.6809,0.59,0.01,-0.2382
000408,0.5074,2012-04-09,2019-12-31,1.3036,0.1326,0.3614,2017-04-27,2019-07-29,0.1296,0.24,1689,46,0.03,0.7391,0.72,0.46,-0.1099
