stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
000001,0.4885,2012-04-20,2019-12-31,0.6936,0.0735,0.2569,2015-01-15,2017-06-06,-0.0865,-0.22,1873,122,0.07,0.4426,1.74,0.24,-0.172
000002,0.4994,2012-04-09,2019-12-31,0.6134,0.072,0.3033,2015-06-16,2016-07-21,-0.1962,-0.43,1734,110,0.06,0.5091,1.36,0.24,-0.2764
000063,0.4745,2012-04-09,2019-12-31,1.1493,0.1128,0.3259,2012-05-02,2012-11-29,-0.0381,-0.07,1804,72,0.04,0.5139,1.6,0.41,-0.2177
000069,0.5016,2012-04-09,2019-12-31,1.2539,0.1177,0.2491,2013-09-23,2014-06-25,0.0472,0.11,1840,103,0.06,0.4369,2.13,0.42,-0.0865
000100,0.5071,2012-04-11,2019-12-31,0.2176,0.0298,0.3659,2012-04-11,2014-04-29,-0.1065,-0.24,1690,38,0.02,0.4474,1.72,0.06,-0.2187
000157,0.4965,2012-04-09,2019-12-31,0.5201,0.0578,0.3151,2013-02-04,2014-07-10,0.07,0.19,1877,107,0.06,0.514,1.33,0.29,-0.0444
000166,0.5045,2015-04-28,2019-12-31,-0.0794,-0.0185,0.3174,2015-11-16,2018-10-08,0.1701,0.42,1114,63,0.06,0.381,1.64,-0.15,0.0719
000301,0.4916,2012-04-09,2019-12-31,0.0997,0.014,0.3961,2016-12-06,2019-01-28,-0.0848,-0.2,1719,93,0.05,0.4731,1.29,0.0,-0.2112
000333,0.4993,2013-12-20,2019-12-31,0.8534,0.1166,0.2929,2015-06-01,2016-01-25,-0.221,-0.55,1410,107,0.08,0.5047,1.47,0.42,-0.2606
000338,0.5037,2012-04-09,2019-12-31,1.3119,0.1189,0.2685,2013-05-24,2014-01-07,-0.0413,-0.1,1880,72,0.04,0.5,1.77,0.46,-0.1553
000408,0.5175,2012-04-09,2019-12-31,2.1496,0.1867,0.1875,2016-11-07,2017-08-03,0.1837,0.27,1689,30,0.02,0.4333,5.01,0.39,-0.0758
000425,0.489,2012-04-09,2019-12-31,1.0003,0.0981,0.2805,2013-03-06,2014-05-05,0.0658,0.16,1867,99,0.05,0.4444,1.95,0.37,-0.0705
000538,0.4843,2012-04-09,2019-12-31,0.2348,0.0314,0.2514,2018-05-14,2019-01-04,-0.1413,-0.41,1720,133,0.08,0.4812,1.26,0.1,-0.2031
000568,0.4957,2012-04-09,2019-12-31,-0.3124,-0.0493,0.5125,2012-10-16,2016-02-29,-0.1944,-0.45,1866,159,0.09,0.4403,1.22,-0.24,-0.2762
000596,0.5109,2012-04-09,2019-12-31,0.9747,0.0953,0.3315,2014-08-22,2015-09-15,-0.0734,-0.14,1883,128,0.07,0.5078,1.34,0.26,-0.2348
000625,0.4962,2012-04-10,2019-12-31,2.3872,0.1832,0.2719,2015-05-12,2018-08-31,0.0448,0.1,1828,127,0.07,0.4961,1.79,0.71,-0.1127
000651,0.509,2012-04-12,2019-12-31,2.6806,0.21,0.2467,2018-02-26,2018-12-19,-0.1569,-0.37,1723,107,0.06,0.5234,1.86,0.81,-0.228
000661,0.5139,2012-04-09,2019-12-31,6.5309,0.3191,0.2896,2017-11-02,2018-12-19,-0.1217,-0.22,1837,104,0.06,0.5481,1.99,0.85,-0.246
000708,0.496,2012-04-09,2019-12-31,0.4868,0.058,0.3537,2012-04-24,2013-07-31,-0.0883,-0.22,1772,71,0.04,0.5211,1.29,0.25,-0.1929
000723,0.4921,2012-05-17,2019-12-31,0.9426,0.1077,0.3932,2012-05-17,2013-07-03,-0.0359,-0.04,1636,26,0.02,0.5385,1.92,0.15,-0.2783
000725,0.5104,2012-04-09,2019-12-31,-0.189,-0.0278,0.5605,2012-12-12,2016-08-05,-0.1668,-0.37,1875,66,0.04,0.4697,1.12,-0.18,-0.2651
000733,0.4727,2012-04-10,2019-12-31,-0.2176,-0.0328,0.5767,2016-06-14,2019-01-30,-0.1715,-0.33,1853,68,0.04,0.4706,1.1,-0.2,-0.3193
000768,0.5019,2012-04-09,2019-12-31,4.5749,0.2613,0.1791,2012-04-20,2012-11-29,0.1531,0.3,1865,103,0.06,0.5631,2.07,0.91,-0.0671
000776,0.4875,2012-04-09,2019-12-31,0.9587,0.0945,0.3771,2012-10-17,2014-07-21,0.0684,0.11,1877,97,0.05,0.4742,1.93,0.16,-0.0876
000786,0.4899,2012-04-09,2019-12-31,0.3369,0.043,0.3261,2013-02-05,2014-06-20,-0.2055,-0.46,1739,86,0.05,0.4651,1.48,0.14,-0.2922
000792,0.4862,2012-04-09,2019-12-31,-0.2501,-0.0384,0.6504,2015-04-15,2016-05-11,0.0738,0.15,1851,80,0.04,0.4875,1.04,-0.2,-0.0938
000800,0.515,2012-04-10,2019-12-31,1.2649,0.117,0.4971,2015-05-19,2018-10-08,0.1243,0.23,1862,62,0.03,0.5323,1.56,0.35,-0.0977
000858,0.4841,2012-04-09,2019-12-31,0.4976,0.0574,0.3602,2018-06-11,2018-12-19,-0.1801,-0.45,1824,143,0.08,0.4406,1.61,0.21,-0.2463
000876,0.4877,2012-04-10,2019-12-31,1.0977,0.1131,0.2518,2012-05-14,2013-06-25,-0.0469,-0.11,1743,102,0.06,0.4902,1.74,0.47,-0.165
000877,0.4995,2012-04-13,2019-12-31,0.8487,0.0869,0.2203,2014-12-30,2016-02-19,0.0818,0.14,1858,33,0.02,0.4848,2.13,0.21,-0.1458
000895,0.4794,2012-04-12,2019-12-31,-0.4899,-0.0869,0.7105,2012-04-12,2015-08-25,-0.1634,-0.45,1865,129,0.07,0.4496,0.98,-0.46,-0.2326
000938,0.489,2012-04-09,2019-12-31,0.2622,0.0355,0.5272,2013-10-21,2015-09-10,-0.236,-0.38,1683,31,0.02,0.6452,0.82,0.06,-0.3831
000963,0.4957,2012-04-09,2019-12-31,0.5248,0.0594,0.4129,2016-04-06,2019-06-03,-0.1439,-0.37,1842,170,0.09,0.5235,1.14,0.21,-0.215
000977,0.4774,2012-04-09,2019-12-31,0.6399,0.0702,0.3133,2012-04-09,2012-10-24,-0.2686,-0.48,1837,47,0.03,0.4894,1.63,0.25,-0.391
001979,0.5049,2016-03-31,2019-12-31,0.4044,0.0978,0.1568,2019-03-07,2019-11-08,-0.0133,-0.04,917,32,0.03,0.5312,1.92,0.5,-0.1104
002001,0.4968,2012-04-09,2019-12-31,1.1353,0.1076,0.2584,2013-02-21,2016-05-19,-0.0823,-0.17,1870,79,0.04,0.481,1.82,0.31,-0.2114
002007,0.496,2012-04-09,2019-12-31,1.7588,0.146,0.2688,2017-02-20,2017-08-31,-0.0555,-0.12,1877,98,0.05,0.5,1.8,0.48,-0.173
002008,0.4735,2012-04-09,2019-12-31,-0.2234,-0.0336,0.5439,2014-09-19,2017-01-16,-0.3115,-0.57,1865,55,0.03,0.4727,1.14,-0.17,-0.3962
002027,0.5101,2012-04-10,2019-12-31,4.1554,0.26,0.5723,2016-04-05,2019-12-09,0.0109,0.01,1788,62,0.03,0.4839,2.73,0.41,-0.2126
002032,0.4859,2012-04-10,2019-12-31,0.1509,0.019,0.3571,2015-06-05,2015-09-28,-0.3158,-0.73,1881,146,0.08,0.5342,1.0,0.02,-0.3374
002049,0.5079,2012-04-11,2019-12-31,0.8215,0.0965,0.3604,2015-09-23,2016-05-16,-0.2012,-0.34,1640,30,0.02,0.6333,1.08,0.34,-0.3731
002050,0.4949,2012-04-11,2019-12-31,1.385,0.1319,0.5028,2012-04-11,2014-01-06,-0.139,-0.24,1768,105,0.06,0.5143,1.56,0.31,-0.2746
002064,0.4906,2012-04-10,2019-12-31,0.0801,0.0104,0.3222,2012-04-10,2012-11-12,-0.1018,-0.22,1869,76,0.04,0.5395,1.0,-0.01,-0.2318
002074,0.4892,2012-04-13,2019-12-31,1.6778,0.16,0.5707,2016-07-01,2018-12-28,0.0037,0.0,1672,55,0.03,0.4364,2.76,0.2,-0.2178
002120,0.4929,2012-04-11,2019-12-31,2.2497,0.176,0.33,2015-06-18,2015-09-25,-0.1352,-0.24,1832,49,0.03,0.5918,1.7,0.53,-0.3017
002129,0.4912,2012-04-10,2019-12-31,0.2927,0.0466,0.6423,2015-05-11,2018-11-14,-0.0946,-0.14,1421,71,0.05,0.4789,1.51,0.07,-0.3055
002142,0.4891,2012-04-10,2019-12-31,1.4978,0.1305,0.2149,2018-01-23,2018-07-16,-0.1364,-0.37,1881,119,0.06,0.4874,1.81,0.61,-0.2006
002179,0.5051,2012-04-09,2019-12-31,2.7614,0.1949,0.2433,2018-04-10,2019-01-02,-0.0663,-0.13,1875,106,0.06,0.5377,1.82,0.63,-0.2146
002180,0.501,2012-04-09,2019-12-31,1.0862,0.1264,0.3106,2014-06-12,2015-08-03,-0.1761,-0.28,1557,56,0.04,0.5357,1.54,0.31,-0.3434
002202,0.4893,2012-04-09,2019-12-31,0.123,0.0158,0.5185,2018-03-21,2018-10-18,-0.1223,-0.24,1870,98,0.05,0.398,1.79,0.01,-0.2517
002230,0.5014,2012-04-09,2019-12-31,2.2668,0.1791,0.3048,2013-06-27,2014-07-18,-0.085,-0.15,1811,44,0.02,0.6364,1.28,0.61,-0.2726
002236,0.496,2012-04-11,2019-12-31,0.0924,0.0119,0.6131,2013-07-10,2016-05-31,-0.2012,-0.39,1875,95,0.05,0.6105,0.74,-0.01,-0.3139
002241,0.4762,2012-04-10,2019-12-31,-0.2324,-0.035,0.5807,2013-09-24,2018-12-10,-0.1888,-0.37,1869,122,0.07,0.459,1.16,-0.19,-0.3171
002252,0.4812,2012-04-09,2019-12-31,0.3425,0.0541,0.5282,2017-01-03,2019-01-11,-0.2169,-0.38,1409,91,0.06,0.4396,1.79,0.1,-0.3153
002271,0.4776,2012-04-11,2019-12-31,-0.1673,-0.0243,0.5799,2015-05-20,2019-08-26,-0.3593,-0.72,1874,86,0.05,0.4651,1.21,-0.14,-0.3921
002304,0.4973,2012-04-10,2019-12-31,0.1095,0.014,0.4698,2012-07-31,2014-02-07,-0.0346,-0.08,1882,147,0.08,0.4762,1.23,0.0,-0.1562
002311,0.488,2012-04-10,2019-12-31,0.1308,0.0167,0.5051,2015-06-05,2018-10-29,-0.2091,-0.5,1873,147,0.08,0.483,1.2,0.01,-0.2751
002352,0.5008,2012-04-09,2019-12-31,1.4089,0.128,0.4023,2013-12-09,2016-02-01,-0.1465,-0.17,1839,25,0.01,0.48,3.33,0.14,-0.2781
002371,0.4959,2012-04-10,2019-12-31,0.9056,0.0938,0.4234,2015-07-17,2019-01-10,-0.1966,-0.34,1813,67,0.04,0.5224,1.48,0.28,-0.346
002410,0.51,2012-04-10,2019-12-31,1.5029,0.1335,0.3612,2015-11-17,2017-02-13,-0.1055,-0.2,1845,102,0.06,0.5196,1.47,0.44,-0.2738
002414,0.4914,2012-04-10,2019-12-31,0.4971,0.0582,0.509,2015-10-26,2018-11-30,-0.1326,-0.24,1799,73,0.04,0.3699,2.4,0.13,-0.2731
002415,0.4869,2012-04-10,2019-12-31,0.7303,0.0782,0.3774,2015-06-12,2016-06-13,-0.2408,-0.53,1836,154,0.08,0.5,1.28,0.24,-0.2967
002459,0.5081,2012-04-10,2019-12-31,-0.0905,-0.0132,0.5158,2015-05-27,2019-05-14,-0.0342,-0.06,1797,32,0.02,0.5312,0.98,-0.1,-0.2245
002460,0.4853,2012-04-09,2019-12-31,-0.1033,-0.0151,0.4128,2018-05-25,2019-08-16,-0.3809,-0.65,1801,48,0.03,0.5,1.07,-0.11,-0.4633
002466,0.5006,2012-04-09,2019-12-31,1.941,0.1697,0.2434,2018-11-27,2019-10-30,-0.1021,-0.16,1734,38,0.02,0.6053,1.58,0.44,-0.3187
002475,0.4936,2012-04-09,2019-12-31,1.2953,0.1189,0.2302,2015-07-22,2016-12-13,-0.3752,-0.78,1864,136,0.07,0.5368,1.25,0.42,-0.3787
