,date,close,average,turnover_ratio,market_cap
1119,2012-01-04,35.46,36.05,0.3044,2683.5723
1120,2012-01-05,35.49,35.56,0.3796,2685.947
1121,2012-01-06,35.41,35.42,0.3569,2679.614
1122,2012-01-09,36.33,35.66,0.6926,2749.2761
1123,2012-01-10,37.96,37.35,0.8046,2872.7681
1124,2012-01-11,37.48,37.6,0.5538,2836.3538
1125,2012-01-12,38.04,38.17,0.4769,2879.1008
1126,2012-01-13,37.69,37.83,0.3941,2852.186
1127,2012-01-16,37.23,37.63,0.2907,2817.355
1128,2012-01-17,39.56,38.43,0.6525,2993.885
1129,2012-01-18,39.17,39.59,0.4706,2964.5952
1130,2012-01-19,40.28,40.1,0.7442,3048.5063
1131,2012-01-20,40.9,40.85,0.8317,3095.2117
1132,2012-01-30,40.38,40.55,0.4598,3055.6309
1133,2012-01-31,40.1,40.37,0.5055,3035.0488
1134,2012-02-01,39.13,39.6,0.5645,2961.4287
1135,2012-02-02,41.46,40.4,0.9201,3137.9587
1136,2012-02-03,42.0,41.91,0.922,3178.3311
1137,2012-02-06,41.44,41.66,0.4684,3136.3755
1138,2012-02-07,40.7,40.73,0.5495,3080.1709
1139,2012-02-09,41.71,41.87,0.8561,3156.9575
1140,2012-02-10,41.93,42.19,0.5455,3173.5813
1141,2012-02-13,42.13,42.05,0.4285,3188.6221
1142,2012-02-14,41.4,41.49,0.4915,3133.209
1143,2012-02-15,42.09,42.09,0.5061,3185.4556
1144,2012-02-16,41.51,41.61,0.3614,3141.1252
1145,2012-02-17,41.58,41.7,0.3632,3146.6665
1146,2012-02-20,41.93,42.34,0.6569,3173.5813
1147,2012-02-21,42.56,42.03,0.4772,3221.0781
1148,2012-02-22,42.98,42.68,0.5028,3252.7429
1149,2012-02-23,42.9,43.03,0.39,3246.4099
1150,2012-02-24,43.6,43.18,0.5377,3299.448
1151,2012-02-27,43.42,43.93,0.5917,3285.9905
1152,2012-02-28,43.63,43.57,0.4182,3301.823
1153,2012-02-29,42.7,42.82,0.5358,3231.3691
1154,2012-03-01,42.42,42.63,0.3708,3209.9956
1155,2012-03-02,43.15,42.89,0.4437,3265.4087
1156,2012-03-05,41.94,42.47,0.742,3174.373
1157,2012-03-06,41.25,41.31,0.8391,3122.1265
1158,2012-03-07,40.94,41.14,0.4523,3098.3779
1159,2012-03-08,41.75,41.78,0.5618,3159.3323
1160,2012-03-09,41.91,41.81,0.2878,3171.998
1161,2012-03-12,41.61,41.32,0.5035,3149.0413
1162,2012-03-13,42.52,42.22,0.4704,3217.9119
1163,2012-03-14,41.58,42.17,0.6741,3146.6665
1164,2012-03-15,41.36,41.68,0.4096,3130.0425
1165,2012-03-16,41.36,41.03,0.4718,3130.0425
1166,2012-03-19,40.8,40.74,0.528,3088.0869
1167,2012-03-20,40.54,40.84,0.415,3068.2966
1168,2012-03-21,40.72,40.72,0.3679,3081.7542
1169,2012-03-22,40.74,40.65,0.2859,3083.3374
1170,2012-03-23,40.19,40.12,0.3335,3041.3818
1171,2012-03-26,40.02,39.98,0.2273,3028.7161
1172,2012-03-27,40.08,40.06,0.399,3033.4656
1173,2012-03-28,39.1,39.4,0.4763,2959.054
1174,2012-03-29,37.91,38.31,0.5219,2868.8098
1175,2012-03-30,38.26,38.11,0.4071,2895.7249
1176,2012-04-05,39.5,39.0,0.6033,2989.1353
1177,2012-04-06,39.83,39.69,0.4018,3014.4668
1178,2012-04-09,39.38,39.51,0.1769,2980.4275
1179,2012-04-10,39.82,39.17,0.2665,3013.6753
1180,2012-04-11,39.64,39.64,0.3111,3000.218
1181,2012-04-12,40.87,40.37,0.5272,3092.8367
1182,2012-04-13,41.58,41.61,0.7164,3146.6665
1183,2012-04-16,41.3,41.3,0.2138,3125.293
1184,2012-04-17,40.67,40.92,0.2506,3077.7959
1185,2012-04-18,41.83,41.54,0.4574,3165.6653
1186,2012-04-19,42.9,42.85,1.1889,3246.4099
1187,2012-04-20,43.27,43.18,0.7356,3274.908
1188,2012-04-23,42.5,43.12,0.5837,3216.3286
1189,2012-04-24,42.67,42.85,0.8779,3228.9944
1190,2012-04-25,42.68,42.82,0.4696,3229.7859
1191,2012-04-26,43.08,43.16,0.468,3260.6589
1192,2012-04-27,42.58,42.9,0.4893,3222.6614
1193,2012-05-02,44.11,43.93,0.7598,3338.2371
1194,2012-05-03,45.06,44.81,0.6657,3410.2739
1195,2012-05-04,45.06,44.99,0.5603,3410.2739
1196,2012-05-07,43.92,44.09,0.6943,3323.988
1197,2012-05-08,43.5,43.66,0.6137,3292.3235
1198,2012-05-09,43.36,43.37,0.5419,3281.241
1199,2012-05-10,43.27,43.38,0.3809,3274.908
1200,2012-05-11,43.07,43.22,0.3703,3259.8672
1201,2012-05-14,42.67,42.76,0.4998,3228.9944
1202,2012-05-15,44.13,43.76,0.9826,3339.8203
1203,2012-05-16,43.11,43.57,0.4634,3262.2422
1204,2012-05-17,44.35,43.9,0.6173,3356.4441
1205,2012-05-18,43.31,43.4,0.5481,3278.0745
1206,2012-05-21,43.53,43.57,0.3255,3294.6982
1207,2012-05-22,44.53,44.13,0.6278,3369.9016
1208,2012-05-23,44.15,44.17,0.4904,3341.4036
1209,2012-05-24,43.97,44.11,0.2617,3327.946
1210,2012-05-25,42.52,43.15,0.4723,3217.9119
1211,2012-05-28,42.96,42.58,0.4494,3251.1597
1212,2012-05-29,44.16,43.8,0.5437,3342.1953
1213,2012-05-30,44.19,44.28,0.3845,3344.5701
1214,2012-05-31,43.82,43.84,0.3555,3316.072
1215,2012-06-01,44.11,44.26,0.2987,3338.2371
1216,2012-06-04,42.69,43.07,0.7661,3230.5776
1217,2012-06-05,42.54,42.65,0.4453,3219.4951
1218,2012-06-06,42.89,43.03,0.3252,3245.6184
1219,2012-06-07,42.97,43.47,0.3147,3251.9512
1220,2012-06-08,42.99,43.27,0.5569,3253.5344
1221,2012-06-11,44.28,43.92,0.4055,3350.9028
1222,2012-06-12,44.46,44.31,0.4141,3364.3604
1223,2012-06-13,47.36,46.42,1.1343,3584.4292
1224,2012-06-14,47.21,47.46,0.729,3572.5549
1225,2012-06-15,48.18,48.21,0.8216,3646.175
1226,2012-06-18,48.24,48.29,0.4203,3650.9248
1227,2012-06-19,48.07,48.39,0.4237,3638.2588
1228,2012-06-20,48.16,48.31,0.2902,3644.5918
1229,2012-06-21,46.83,46.9,0.575,3544.0569
1230,2012-06-25,45.54,45.98,0.3951,3446.6882
1231,2012-06-26,45.99,46.04,0.4425,3480.7278
1232,2012-06-28,46.7,46.84,0.5295,3534.5574
1233,2012-06-29,47.84,47.81,0.6955,3620.8435
1234,2012-07-02,48.22,47.88,0.3885,3649.3416
1235,2012-07-03,47.72,48.32,0.5079,3611.344
1236,2012-07-04,47.23,47.32,0.2308,3574.1382
1237,2012-07-05,47.44,47.06,0.3106,3589.9705
1238,2012-07-06,48.37,48.03,0.6902,3660.4241
1239,2012-07-09,47.7,48.31,0.4353,3609.7607
1240,2012-07-10,47.61,47.79,0.3364,3603.428
1241,2012-07-11,47.81,47.48,0.2996,3618.4685
1242,2012-07-12,47.08,47.0,0.7334,3563.0557
1243,2012-07-13,47.07,47.26,0.3108,3562.2639
1244,2012-07-16,45.84,46.16,0.4357,3449.063
1245,2012-07-17,46.59,46.14,0.4346,3506.0593
1246,2012-07-18,46.6,46.38,0.3479,3506.8508
1247,2012-07-19,48.33,48.15,0.7375,3636.6758
1248,2012-07-20,48.36,48.13,0.3909,3639.0505
1249,2012-07-23,47.12,47.23,0.3612,3545.6399
1250,2012-07-24,47.27,47.29,0.3289,3556.7227
1251,2012-07-25,47.02,47.31,0.2348,3538.5154
1252,2012-07-26,47.02,47.36,0.3446,3538.5154
1253,2012-07-27,46.8,46.51,0.5164,3521.8916
1254,2012-07-30,45.88,46.23,0.3329,3452.2295
1255,2012-07-31,46.54,46.85,0.4384,3502.1013
1256,2012-08-01,47.56,47.43,0.323,3578.8877
1257,2012-08-02,47.17,47.21,0.307,3549.5981
1258,2012-08-03,46.34,46.12,0.4803,3487.0605
1259,2012-08-06,46.92,46.64,0.3057,3530.5994
1260,2012-08-07,46.2,46.28,0.3775,3476.7695
1261,2012-08-08,46.68,46.45,0.2657,3512.3921
1262,2012-08-09,46.98,46.58,0.2975,3535.3491
1263,2012-08-10,47.17,47.34,0.2864,3549.5981
1264,2012-08-13,44.1,45.21,0.8659,3318.4468
1265,2012-08-14,43.76,43.5,0.5135,3293.115
1266,2012-08-15,43.69,43.86,0.2338,3287.5737
1267,2012-08-16,43.68,43.74,0.1774,3286.7822
1268,2012-08-17,43.78,43.43,0.2977,3294.6982
1269,2012-08-20,43.28,42.89,0.2657,3256.7009
1270,2012-08-21,43.2,43.41,0.31,3250.3679
1271,2012-08-22,43.02,42.81,0.3059,3236.9104
1272,2012-08-23,43.16,43.15,0.3019,3247.9932
1273,2012-08-24,43.0,43.09,0.2482,3235.3274
1274,2012-08-27,40.89,41.6,0.5131,3077.0044
1275,2012-08-28,40.9,41.02,0.267,3077.7959
1276,2012-08-29,40.43,40.56,0.2246,3042.1733
1277,2012-08-30,41.16,41.1,0.4706,3097.5864
1278,2012-08-31,40.87,41.21,0.2715,3075.4211
1279,2012-09-03,41.92,41.82,0.4005,3154.5825
1280,2012-09-04,41.48,41.73,0.2097,3121.3347
1281,2012-09-05,41.29,41.45,0.254,3107.0857
1282,2012-09-06,41.89,41.76,0.2009,3152.2078
1283,2012-09-07,44.24,43.73,0.84,3328.7378
