2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000,sh.600000
sh.600001,sh.600001,sh.600001,sh.600001,sh.600004,sh.600004,sh.600005,sh.600008,sh.600008,sh.600005,sh.600005,sh.600008,sh.600004,sh.600004,sh.600004,sh.600009,sh.600009
sh.600004,sh.600003,sh.600004,sh.600004,sh.600005,sh.600005,sh.600009,sh.600009,sh.600009,sh.600008,sh.600008,sh.600009,sh.600009,sh.600009,sh.600009,sh.600010,sh.600010
sh.600005,sh.600004,sh.600005,sh.600005,sh.600006,sh.600008,sh.600010,sh.600010,sh.600010,sh.600009,sh.600009,sh.600010,sh.600010,sh.600010,sh.600010,sh.600011,sh.600011
sh.600006,sh.600005,sh.600006,sh.600006,sh.600008,sh.600009,sh.600011,sh.600011,sh.600011,sh.600010,sh.600010,sh.600011,sh.600011,sh.600011,sh.600011,sh.600015,sh.600015
sh.600008,sh.600006,sh.600007,sh.600008,sh.600009,sh.600010,sh.600015,sh.600015,sh.600015,sh.600011,sh.600015,sh.600015,sh.600015,sh.600015,sh.600015,sh.600016,sh.600016
sh.600009,sh.600007,sh.600008,sh.600009,sh.600010,sh.600015,sh.600016,sh.600016,sh.600016,sh.600015,sh.600016,sh.600016,sh.600016,sh.600016,sh.600016,sh.600018,sh.600018
sh.600010,sh.600008,sh.600009,sh.600010,sh.600011,sh.600016,sh.600019,sh.600018,sh.600018,sh.600016,sh.600018,sh.600018,sh.600018,sh.600018,sh.600018,sh.600019,sh.600019
sh.600011,sh.600009,sh.600010,sh.600011,sh.600015,sh.600018,sh.600022,sh.600019,sh.600019,sh.600018,sh.600019,sh.600019,sh.600019,sh.600019,sh.600019,sh.600025,sh.600025
sh.600012,sh.600010,sh.600011,sh.600015,sh.600016,sh.600019,sh.600028,sh.600027,sh.600023,sh.600019,sh.600021,sh.600021,sh.600023,sh.600023,sh.600025,sh.600028,sh.600028
sh.600015,sh.600011,sh.600012,sh.600016,sh.600017,sh.600026,sh.600029,sh.600028,sh.600027,sh.600021,sh.600023,sh.600023,sh.600025,sh.600025,sh.600027,sh.600029,sh.600029
sh.600016,sh.600012,sh.600015,sh.600017,sh.600018,sh.600028,sh.600030,sh.600029,sh.600028,sh.600023,sh.600028,sh.600028,sh.600027,sh.600027,sh.600028,sh.600030,sh.600030
sh.600018,sh.600015,sh.600016,sh.600018,sh.600019,sh.600029,sh.600031,sh.600030,sh.600029,sh.600027,sh.600029,sh.600029,sh.600028,sh.600028,sh.600029,sh.600031,sh.600031
sh.600019,sh.600016,sh.600017,sh.600019,sh.600022,sh.600030,sh.600036,sh.600031,sh.600030,sh.600028,sh.600030,sh.600030,sh.600029,sh.600029,sh.600030,sh.600036,sh.600036
sh.600020,sh.600017,sh.600018,sh.600022,sh.600026,sh.600031,sh.600037,sh.600036,sh.600031,sh.600029,sh.600031,sh.600031,sh.600030,sh.600030,sh.600031,sh.600048,sh.600048
