date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2007-01-04,sh.600690,9.3,10.14,9.28,9.8,25926472,254733995.0,3.49258,1,6.290671,0
2007-01-05,sh.600690,9.7,10.16,9.52,9.9,17116995,170154437.0,2.305847,1,1.020402,0
2007-01-08,sh.600690,9.93,10.78,9.93,10.6,15934058,164954890.0,2.146492,1,7.070715,0
2007-01-09,sh.600690,10.68,11.15,10.08,10.55,22716333,246309215.0,3.060139,1,-0.4717,0
2007-01-10,sh.600690,10.49,11.13,10.25,11.1,23285818,246221519.0,3.136855,1,5.213272,0
2007-01-11,sh.600690,11.0,11.38,10.67,10.85,14957966,164950721.0,2.015002,1,-2.252252,0
2007-01-12,sh.600690,10.65,10.75,10.0,10.04,16021511,165676948.0,2.158273,1,-7.465442,0
2007-01-15,sh.600690,9.95,10.55,9.9,10.46,17422708,178705172.0,2.347029,1,4.183268,0
2007-01-16,sh.600690,10.58,10.98,10.42,10.87,19440060,208494460.0,2.618789,1,3.919693,0
2007-01-17,sh.600690,10.9,11.24,10.1,10.32,21455928,229643588.0,2.890348,1,-5.0598,0
2007-01-18,sh.600690,10.31,10.88,9.8,10.2,20313939,205393754.0,2.73651,1,-1.16279,0
2007-01-19,sh.600690,10.22,10.86,10.22,10.74,18901065,198761359.0,2.54618,1,5.294117,0
2007-01-22,sh.600690,10.88,11.81,10.86,11.81,36244864,414467347.0,4.88258,1,9.962762,0
2007-01-23,sh.600690,11.9,12.4,11.55,12.1,32145116,386526834.0,4.330299,1,2.455546,0
2007-01-24,sh.600690,12.1,12.1,11.7,11.85,21790129,258671372.0,2.935369,1,-2.066116,0
2007-01-25,sh.600690,11.78,11.8,10.99,11.01,18928143,214431597.0,2.549828,1,-7.088608,0
2007-01-26,sh.600690,10.74,10.95,10.08,10.67,19522135,204131531.0,2.629845,1,-3.088103,0
2007-01-29,sh.600690,10.83,10.95,10.45,10.95,19449942,208717322.0,2.62012,1,2.624177,0
2007-01-30,sh.600690,11.01,11.09,10.55,10.6,15213971,164113699.0,2.049488,1,-3.196342,0
2007-01-31,sh.600690,10.5,10.5,9.54,9.64,23981104,240917317.0,3.230517,1,-9.056604,0
2007-02-01,sh.600690,9.55,9.74,9.0,9.63,24159311,228466750.0,3.254524,1,-0.103737,0
2007-02-02,sh.600690,9.9,10.2,9.2,9.29,18495086,179643010.0,2.491491,1,-3.530635,0
2007-02-05,sh.600690,9.2,9.35,8.8,9.08,14748658,133474456.0,1.986806,1,-2.260495,0
2007-02-06,sh.600690,9.21,9.45,8.9,9.39,20926884,192015290.0,2.81908,1,3.414102,0
2007-02-07,sh.600690,9.51,9.74,9.1,9.4,35018739,330552518.0,4.717407,1,0.106489,0
2007-02-08,sh.600690,9.38,9.98,9.11,9.94,31216961,298246791.0,4.205266,1,5.744681,0
2007-02-09,sh.600690,9.92,9.98,9.6,9.79,19749718,193275577.0,2.660503,1,-1.509051,0
2007-02-12,sh.600690,9.81,10.39,9.8,10.37,23326590,236215475.0,3.142347,1,5.924412,0
2007-02-13,sh.600690,10.42,10.47,10.16,10.39,15429628,159083772.0,2.07854,1,0.192868,0
2007-02-14,sh.600690,10.3,10.59,10.21,10.48,17358226,180940240.0,2.338343,1,0.86621,0
2007-02-15,sh.600690,10.56,10.87,10.56,10.71,24396926,261328500.0,3.286533,1,2.194661,0
2007-02-16,sh.600690,10.9,11.5,10.86,11.18,29245385,326173414.0,3.939673,1,4.388424,0
2007-02-26,sh.600690,11.27,11.64,10.9,11.49,25230590,284742955.0,3.398837,1,2.772804,0
2007-02-27,sh.600690,11.5,11.58,10.34,10.34,29730706,322874065.0,4.005052,1,-10.0087,0
2007-02-28,sh.600690,9.9,10.49,9.8,10.39,27232616,275899266.0,3.668531,1,0.483561,0
2007-03-01,sh.600690,10.46,10.49,9.65,9.87,21197589,210832983.0,2.855547,1,-5.004817,0
2007-03-02,sh.600690,9.8,10.02,9.7,9.86,15090918,148688338.0,2.032912,1,-0.101319,0
2007-03-05,sh.600690,9.86,9.94,9.4,9.68,15301043,148151867.0,2.061218,1,-1.825551,0
2007-03-06,sh.600690,9.65,9.89,9.42,9.87,21171090,205163380.0,2.851978,1,1.962806,0
2007-03-07,sh.600690,9.9,10.25,9.9,10.17,24448184,246149769.0,3.293438,1,3.039515,0
2007-03-08,sh.600690,10.18,10.38,10.01,10.33,14975408,153159720.0,2.017351,1,1.573253,0
2007-03-09,sh.600690,10.3,10.31,10.11,10.16,14930939,152174669.0,2.011361,1,-1.645693,0
2007-03-12,sh.600690,10.16,10.16,9.81,9.99,17614923,175160725.0,2.372923,1,-1.673229,0
